time,Hips.x,Hips.y,Hips.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightLeg.x,RightLeg.y,RightLeg.z,RightFoot.x,RightFoot.y,RightFoot.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Spine2.x,Spine2.y,Spine2.z,Neck.x,Neck.y,Neck.z,Neck1.x,Neck1.y,Neck1.z,Head.x,Head.y,Head.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightHand.x,RightHand.y,RightHand.z,RightHandThumb1.x,RightHandThumb1.y,RightHandThumb1.z,RightHandThumb2.x,RightHandThumb2.y,RightHandThumb2.z,RightHandThumb3.x,RightHandThumb3.y,RightHandThumb3.z,RightInHandIndex.x,RightInHandIndex.y,RightInHandIndex.z,RightHandIndex1.x,RightHandIndex1.y,RightHandIndex1.z,RightHandIndex2.x,RightHandIndex2.y,RightHandIndex2.z,RightHandIndex3.x,RightHandIndex3.y,RightHandIndex3.z,RightInHandMiddle.x,RightInHandMiddle.y,RightInHandMiddle.z,RightHandMiddle1.x,RightHandMiddle1.y,RightHandMiddle1.z,RightHandMiddle2.x,RightHandMiddle2.y,RightHandMiddle2.z,RightHandMiddle3.x,RightHandMiddle3.y,RightHandMiddle3.z,RightInHandRing.x,RightInHandRing.y,RightInHandRing.z,RightHandRing1.x,RightHandRing1.y,RightHandRing1.z,RightHandRing2.x,RightHandRing2.y,RightHandRing2.z,RightHandRing3.x,RightHandRing3.y,RightHandRing3.z,RightInHandPinky.x,RightInHandPinky.y,RightInHandPinky.z,RightHandPinky1.x,RightHandPinky1.y,RightHandPinky1.z,RightHandPinky2.x,RightHandPinky2.y,RightHandPinky2.z,RightHandPinky3.x,RightHandPinky3.y,RightHandPinky3.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftHand.x,LeftHand.y,LeftHand.z,LeftHandThumb1.x,LeftHandThumb1.y,LeftHandThumb1.z,LeftHandThumb2.x,LeftHandThumb2.y,LeftHandThumb2.z,LeftHandThumb3.x,LeftHandThumb3.y,LeftHandThumb3.z,LeftInHandIndex.x,LeftInHandIndex.y,LeftInHandIndex.z,LeftHandIndex1.x,LeftHandIndex1.y,LeftHandIndex1.z,LeftHandIndex2.x,LeftHandIndex2.y,LeftHandIndex2.z,LeftHandIndex3.x,LeftHandIndex3.y,LeftHandIndex3.z,LeftInHandMiddle.x,LeftInHandMiddle.y,LeftInHandMiddle.z,LeftHandMiddle1.x,LeftHandMiddle1.y,LeftHandMiddle1.z,LeftHandMiddle2.x,LeftHandMiddle2.y,LeftHandMiddle2.z,LeftHandMiddle3.x,LeftHandMiddle3.y,LeftHandMiddle3.z,LeftInHandRing.x,LeftInHandRing.y,LeftInHandRing.z,LeftHandRing1.x,LeftHandRing1.y,LeftHandRing1.z,LeftHandRing2.x,LeftHandRing2.y,LeftHandRing2.z,LeftHandRing3.x,LeftHandRing3.y,LeftHandRing3.z,LeftInHandPinky.x,LeftInHandPinky.y,LeftInHandPinky.z,LeftHandPinky1.x,LeftHandPinky1.y,LeftHandPinky1.z,LeftHandPinky2.x,LeftHandPinky2.y,LeftHandPinky2.z,LeftHandPinky3.x,LeftHandPinky3.y,LeftHandPinky3.z
   0.00000,   0.00000,  83.64000,   0.00000, -10.50000,  83.64000,   0.00000, -10.50000,  44.24000,   0.00000, -10.50000,   6.92000,   0.00000,  10.50000,  83.64000,   0.00000,  10.50000,  44.24000,   0.00000,  10.50000,   6.92000,   0.00000,   0.00000,  91.18900,   0.00000,   0.00000, 107.90400,   0.00000,   0.00000, 119.76600,   0.00000,   0.00000, 137.56000,   0.00000,   0.00000, 141.70500,   0.00000,   0.00000, 145.85000,   0.00000,  -2.69600, 132.16800,   0.00000, -15.50000, 132.16800,   0.00000, -36.50000, 132.16800,   0.00000, -59.50000, 132.16800,   0.00000, -61.23700, 131.73400,   2.25800, -62.97300, 129.27892,   3.99400, -64.17900, 127.57338,   5.20000, -62.53900, 132.64700,   1.86500, -67.45800, 132.56100,   2.80700, -70.87100, 132.56100,   2.80700, -72.80600, 132.56100,   2.80700, -62.68900, 132.65600,   0.71400, -67.56800, 132.57700,   1.01000, -71.29200, 132.57700,   1.01000, -73.62600, 132.57700,   1.01000, -62.67300, 132.67500,  -0.12200, -67.04300, 132.65400,  -0.57400, -70.28800, 132.65400,  -0.57400, -72.54000, 132.65400,  -0.57400, -62.48000, 132.61100,  -1.13300, -66.38400, 132.59000,  -2.16100, -68.98300, 132.59000,  -2.16100, -70.62500, 132.59000,  -2.16100,   2.69600, 132.16800,   0.00000,  15.50000, 132.16800,   0.00000,  36.50000, 132.16800,   0.00000,  59.50000, 132.16800,   0.00000,  61.23700, 131.73400,   2.25800,  62.97300, 129.27892,   3.99400,  64.17900, 127.57338,   5.20000,  62.53900, 132.64700,   1.86500,  67.45800, 132.56100,   2.80700,  70.87100, 132.56100,   2.80700,  72.80600, 132.56100,   2.80700,  62.68900, 132.65600,   0.71400,  67.56800, 132.57700,   1.01000,  71.29200, 132.57700,   1.01000,  73.62600, 132.57700,   1.01000,  62.67300, 132.67500,  -0.12200,  67.04300, 132.65400,  -0.57400,  70.28800, 132.65400,  -0.57400,  72.54000, 132.65400,  -0.57400,  62.48000, 132.61100,  -1.13300,  66.38400, 132.59000,  -2.16100,  68.98300, 132.59000,  -2.16100,  70.62500, 132.59000,  -2.16100
   0.01667, -89.00097,  79.46961,-150.37436, -78.64905,  79.95334,-148.68503, -58.32785,  46.81394,-155.10288, -58.77147,   9.80421,-150.32106, -99.35289,  78.98588,-152.06368,-107.30953,  42.00957,-163.10018, -97.93579,   6.64608,-155.72866, -88.93224,  86.60474,-152.83863, -89.28272, 102.68121,-157.40103, -90.05440, 114.22059,-160.03814, -92.08952, 131.58281,-163.36048, -92.56774, 135.66268,-163.91452, -93.11264, 139.76030,-164.22051, -88.90660, 126.75687,-161.65125, -80.54435, 129.68284,-152.40713, -65.98124, 121.78669,-139.50105, -44.94191, 113.35315,-135.59951, -42.46023, 114.58614,-134.80891, -39.35228, 115.55393,-133.60110, -36.97355, 115.57505,-133.20243, -42.58793, 114.58919,-133.17585, -39.43985, 114.44152,-129.28238, -36.55812, 113.78174,-127.57683, -34.80874, 113.08055,-127.13839, -43.18314, 113.65871,-132.81904, -40.43467, 113.01121,-128.82841, -37.62605, 111.41260,-126.97793, -35.76486, 110.01178,-127.12371, -43.68802, 113.01158,-132.65827, -41.67330, 111.89385,-128.91751, -39.54422, 110.12438,-127.22458, -37.85536, 108.63468,-127.21761, -44.33381, 112.20760,-132.65362, -42.89438, 110.71419,-129.19007, -41.52673, 109.05482,-127.73033, -40.39224, 107.87070,-127.81375, -94.03905, 125.88642,-163.05622,-106.26944, 124.37567,-166.53151,-106.80181, 114.21281,-184.90085,-104.65558, 101.42590,-203.89792,-102.27734, 101.92092,-205.44808, -99.61097, 102.08708,-207.66566, -97.70727, 101.41794,-208.98700,-102.90159, 102.43722,-206.87180,-101.52192, 102.36393,-211.68661, -99.89184, 101.29132,-214.48678, -98.84012, 100.19877,-215.68862,-103.91273, 101.90707,-207.08136,-103.11417, 101.54875,-211.89098,-101.98809,  99.70124,-214.92196,-100.95151,  97.77568,-215.73760,-104.66554, 101.54390,-207.11131,-104.60961, 100.93986,-211.46259,-104.08307,  99.12322,-214.09937,-103.27875,  97.22018,-214.99548,-105.55481, 101.04274,-206.96466,-106.05835, 100.21636,-210.88410,-106.05846,  98.68822,-212.98638,-105.56764,  97.22011,-213.53402
   0.03333, -88.56331,  79.73821,-150.70502, -78.35274,  80.13756,-148.28950, -58.54661,  46.56444,-154.02739, -60.44546,   9.44139,-150.70242, -98.77388,  79.33886,-153.12053,-106.51014,  42.13013,-163.51381, -98.19688,   6.59956,-155.68754, -88.29427,  86.91558,-153.02889, -88.25608, 103.07053,-157.31928, -88.78759, 114.65732,-159.80342, -90.49629, 132.08533,-162.96114, -90.92948, 136.17338,-163.49144, -91.45146, 140.27416,-163.79503, -87.46999, 127.21310,-161.10507, -79.62394, 130.08608,-151.40312, -65.42233, 122.27125,-138.05237, -44.42433, 114.02615,-133.56881, -41.95848, 115.25381,-132.72232, -38.87426, 116.21331,-131.44885, -36.50349, 116.23203,-131.00519, -42.11700, 115.24464,-131.09198, -39.04293, 115.06868,-127.14097, -36.19367, 114.39689,-125.38627, -34.45261, 113.69287,-124.92012, -42.71848, 114.31138,-130.75343, -40.04560, 113.63478,-126.71654, -37.27181, 112.02309,-124.82533, -35.40767, 110.62385,-124.94638, -43.22606, 113.66295,-130.60704, -41.28190, 112.51782,-126.83735, -39.18449, 110.73628,-125.11775, -37.49549, 109.24698,-125.09001, -43.87152, 112.85880,-130.62059, -42.49717, 111.33993,-127.14171, -41.15669, 109.67004,-125.66882, -40.02037, 108.48685,-125.73962, -92.48704, 126.39536,-162.90347,-104.49727, 124.91388,-167.08700,-104.29258, 114.89474,-185.54168,-101.44916, 102.30782,-204.58069, -98.99976, 102.80556,-206.01486, -96.23395, 102.98026,-208.10639, -94.27574, 102.31431,-209.34723, -99.55534, 103.34196,-207.45944, -97.95756, 103.31492,-212.20683, -96.20743, 102.26410,-214.94204, -95.10818, 101.17875,-216.10733,-100.55888, 102.82059,-207.72110, -99.54347, 102.51212,-212.49313, -98.29070, 100.69226,-215.49094, -97.22901,  98.76966,-216.28087,-101.31161, 102.46251,-207.78959,-101.06039, 101.90778,-212.14055,-100.42437, 100.11806,-214.77159, -99.59089,  98.22035,-215.65223,-102.20951, 101.96529,-207.68953,-102.53818, 101.18683,-211.63724,-102.45101,  99.68279,-213.75504,-101.94412,  98.21797,-214.29681
   0.05000, -88.18446,  80.14535,-151.20773, -78.17325,  80.44663,-148.05577, -59.08242,  46.35323,-153.10948, -62.75020,   9.24605,-151.56447, -98.19568,  79.84406,-154.35970,-105.74748,  42.42019,-164.09540, -98.50143,   6.74931,-155.85734, -87.72309,  87.36533,-153.36328, -87.31625, 103.59673,-157.33410, -87.62399, 115.22794,-159.64217, -89.04073, 132.71445,-162.61562, -89.43552, 136.80942,-163.12200, -89.94101, 140.91224,-163.42588, -86.16526, 127.79541,-160.64667, -78.91520, 130.60884,-150.47496, -65.09340, 122.87297,-136.68676, -44.13710, 114.82090,-131.68698, -41.69435, 116.05443,-130.78396, -38.64174, 117.02071,-129.44132, -36.28124, 117.04607,-128.94622, -41.88820, 116.04041,-129.15748, -38.90007, 115.86411,-125.14109, -36.08735, 115.19706,-123.32666, -34.35447, 114.49755,-122.82461, -42.49376, 115.10428,-128.83448, -39.90691, 114.42579,-124.74225, -37.16944, 112.81824,-122.79539, -35.29843, 111.42547,-122.87953, -43.00221, 114.45380,-128.70083, -41.13654, 113.30509,-124.89276, -39.07100, 111.52592,-123.13262, -37.37802, 110.04212,-123.07203, -43.64453, 113.64756,-128.73047, -42.34096, 112.12401,-125.22648, -41.02718, 110.45465,-123.72914, -39.88564, 109.27540,-123.77830, -91.05759, 127.03585,-162.78252,-102.76840, 125.57383,-167.74859,-101.99539, 115.69366,-186.26303, -98.51586, 103.34030,-205.34935, -96.00614, 103.85018,-206.67050, -93.15431, 104.04721,-208.64102, -91.14909, 103.39285,-209.81092, -96.49810, 104.41578,-208.12696, -94.70295, 104.46579,-212.80311, -92.84488, 103.45488,-215.48158, -91.70306, 102.38466,-216.61960, -97.49231, 103.90488,-208.43986, -96.27935, 103.67722,-213.17012, -94.91093, 101.90497,-216.14581, -93.82642,  99.99107,-216.92579, -98.24323, 103.55233,-208.54631, -97.81264, 103.07512,-212.89240, -97.07563, 101.32982,-215.52694, -96.21520,  99.44373,-216.40662, -99.14695, 103.05844,-208.49301, -99.31370, 102.35349,-212.46462, -99.14517, 100.88760,-214.60415, -98.62314,  99.43001,-215.15103
   0.06667, -87.77636,  80.55154,-151.82492, -78.05822,  80.72786,-147.85294, -60.03222,  45.95140,-152.09808, -65.12065,   8.98199,-152.48940, -97.49450,  80.37523,-155.79691,-104.88530,  42.74404,-164.83185, -98.94654,   6.91950,-156.22280, -87.11607,  87.81758,-153.76298, -86.33171, 104.12873,-157.32984, -86.41429, 115.80471,-159.42072, -87.54881, 133.34698,-162.17898, -87.90707, 137.44856,-162.65829, -88.39795, 141.55317,-162.96198, -84.82899, 128.37768,-160.11725, -78.11664, 131.13782,-149.56887, -64.74731, 123.48551,-135.29640, -43.83905, 115.64218,-129.78939, -41.42064, 116.89048,-128.84224, -38.39975, 117.87579,-127.44289, -36.04953, 117.91443,-126.90183, -41.64618, 116.87985,-127.21982, -38.73633, 116.72945,-123.14533, -35.95632, 116.08152,-121.27443, -34.23011, 115.39214,-120.73667, -42.25325, 115.94153,-126.90612, -39.74356, 115.28712,-122.76224, -37.03667, 113.69868,-120.75780, -35.15742, 112.31518,-120.80148, -42.76096, 115.28884,-126.78062, -40.96438, 114.15981,-122.93364, -38.92477, 112.39585,-121.12852, -37.22589, 110.92081,-121.03073, -43.39852, 114.47929,-126.82056, -42.15611, 112.97176,-123.28755, -40.86353, 111.31310,-121.76018, -39.71535, 110.13951,-121.78374, -89.58106, 127.68484,-162.56908,-100.98108, 126.23409,-168.21507, -99.71965, 116.49899,-186.77946, -95.59598, 104.40910,-205.90615, -93.03036, 104.93345,-207.10896, -90.09716, 105.15751,-208.95311, -88.04777, 104.51756,-210.05229, -93.45774, 105.53436,-208.57165, -91.46714, 105.67816,-213.16601, -89.50305, 104.71632,-215.78628, -88.31969, 103.66503,-216.89924, -94.44044, 105.03649,-208.93744, -93.03061, 104.90737,-213.61657, -91.54702, 103.19394,-216.57145, -90.44022, 101.29153,-217.34822, -95.18797, 104.69088,-209.08325, -94.57721, 104.30833,-213.41710, -93.73870, 102.61797,-216.05710, -92.85144, 100.74693,-216.94224, -96.09558, 104.20129,-209.07909, -96.09854, 103.58625,-213.06909, -95.84743, 102.16755,-215.23220, -95.31013, 100.71946,-215.78945
   0.08334, -87.30170,  81.06688,-152.54158, -77.90470,  81.12296,-147.85723, -61.44905,  45.48495,-151.24905, -67.55850,   8.74364,-153.60126, -96.69871,  81.01080,-157.22593,-103.99248,  43.22563,-165.67827, -99.64830,   7.25093,-156.74902, -86.48519,  88.37056,-154.26697, -85.39342, 104.74789,-157.42644, -85.27674, 116.46293,-159.28420, -86.12138, 134.06096,-161.77870, -86.44108, 138.16938,-162.22560, -86.91540, 142.27601,-162.52821, -83.57668, 129.03541,-159.63151, -77.40092, 131.74788,-148.74827, -64.44867, 124.17333,-134.05591, -43.60580, 116.57307,-127.98871, -41.22119, 117.85817,-127.00574, -38.23968, 118.89117,-125.55719, -35.90084, 118.96281,-124.97202, -41.47744, 117.85714,-125.38785, -38.64409, 117.77357,-121.25791, -35.89255, 117.17413,-119.32964, -34.16865, 116.51013,-118.75387, -42.07894, 116.91385,-125.07835, -39.64084, 116.32194,-120.88265, -36.95353, 114.78220,-118.81487, -35.05713, 113.42161,-118.81207, -42.58098, 116.25595,-124.95737, -40.84441, 115.17844,-121.06829, -38.81827, 113.45348,-119.21105, -37.10378, 112.00022,-119.06951, -43.20779, 115.43834,-125.00303, -42.01467, 113.97317,-121.43537, -40.73136, 112.34221,-119.87080, -39.56878, 111.18267,-119.86338, -88.15420, 128.42127,-162.41411, -99.19000, 126.95012,-168.73780, -97.39688, 117.39767,-187.35326, -92.76178, 105.53929,-206.50776, -90.15608, 106.07553,-207.61540, -87.16356, 106.32326,-209.35845, -85.08253, 105.69600,-210.40420, -90.53299, 106.70966,-209.07795, -88.39364, 106.94061,-213.60135, -86.34996, 106.02435,-216.17670, -85.13594, 104.99073,-217.27306, -91.50557, 106.22489,-209.48594, -89.94519, 106.18785,-214.11868, -88.37434, 104.52983,-217.06004, -87.25165, 102.63855,-217.84118, -92.24956, 105.88641,-209.66323, -91.50019, 105.59289,-213.98225, -90.58417, 103.95465,-216.62934, -89.67725, 102.09819,-217.52520, -93.15906, 105.40165,-209.69892, -93.03531, 104.87162,-213.69920, -92.72062, 103.49793,-215.88295, -92.17217, 102.05921,-216.45342
   0.10000, -86.77231,  81.48319,-153.27859, -77.73660,  81.40861,-147.93066, -63.03288,  44.95940,-150.69043, -69.87385,   8.49476,-154.72945, -95.80802,  81.55776,-158.62653,-103.04054,  43.66723,-166.64890,-100.14570,   7.57907,-157.59094, -85.82450,  88.82089,-154.77766, -84.47438, 105.25482,-157.51522, -84.19144, 117.00143,-159.14128, -84.80167, 134.64211,-161.39088, -85.08966, 138.75584,-161.80951, -85.55029, 142.86394,-162.11354, -82.41161, 129.56760,-159.18201, -76.85349, 132.22069,-147.95656, -64.32516, 124.71551,-132.86639, -43.55368, 117.33128,-126.30753, -41.21607, 118.67502,-125.29065, -38.28570, 119.78348,-123.79431, -35.96080, 119.90950,-123.16450, -41.50395, 118.68330,-123.67811, -38.75108, 118.69674,-119.49328, -36.02604, 118.17271,-117.50630, -34.30033, 117.55030,-116.89086, -42.09165, 117.73045,-123.37141, -39.72459, 117.22798,-119.12370, -37.04693, 115.76383,-116.98956, -35.12305, 114.44341,-116.93699, -42.58217, 117.06328,-123.25397, -40.90022, 116.05783,-119.32183, -38.87548, 114.39272,-117.40928, -37.13423, 112.97710,-117.22066, -43.19083, 116.23232,-123.30404, -42.03773, 114.82498,-119.70012, -40.75172, 113.23559,-118.09550, -39.56563, 112.10082,-118.05449, -86.82191, 129.02553,-162.23637, -97.39037, 127.51443,-169.30507, -95.14010, 118.14667,-187.96469, -90.06563, 106.49579,-207.13516, -87.43263, 107.04433,-208.16982, -84.39833, 107.31479,-209.83555, -82.29428, 106.70045,-210.84218, -87.77255, 107.70605,-209.62921, -85.52417, 108.01278,-214.09486, -83.42131, 107.13740,-216.63656, -82.18382, 106.12026,-217.72205, -88.73624, 107.23166,-210.06925, -87.06469, 107.27416,-214.66301, -85.42757, 105.66520,-217.59546, -84.29117, 103.78510,-218.38372, -89.47658, 106.89866,-210.27054, -88.62403, 106.68145,-214.57491, -87.64861, 105.08886,-217.22863, -86.72506, 103.24630,-218.13611, -90.38619, 106.41734,-210.33695, -90.16735, 105.95972,-214.34208, -89.80358, 104.62501,-216.54232, -89.24518, 103.19526,-217.12557
   0.11667, -86.21254,  81.85773,-153.99184, -77.62256,  81.62094,-147.95808, -64.94839,  44.38593,-150.25583, -72.21549,   8.21767,-155.89754, -94.80252,  82.09451,-160.02559,-101.93910,  44.12880,-167.77376,-100.61403,   7.93891,-158.75610, -85.12901,  89.22264,-155.24538, -83.52017, 105.70328,-157.52384, -83.08065, 117.47724,-158.89778, -83.48801, 135.15484,-160.88852, -83.74698, 139.27358,-161.27574, -84.19314, 143.38348,-161.57685, -81.24810, 130.03308,-158.63187, -76.25543, 132.62982,-147.13089, -64.19036, 125.20139,-131.63080, -43.50162, 118.02222,-124.59976, -41.21532, 119.43293,-123.55725, -38.33840, 120.62737,-122.02382, -36.02792, 120.81727,-121.35797, -41.52946, 119.44726,-121.94966, -38.84607, 119.56477,-117.72154, -36.14133, 119.12617,-115.68670, -34.41075, 118.55265,-115.03834, -42.09793, 118.48243,-121.64417, -39.78824, 118.07499,-117.35490, -37.10963, 116.69662,-115.16554, -35.15430, 115.42570,-115.07073, -42.57338, 117.80408,-121.52883, -40.93074, 116.87393,-117.56168, -38.89612, 115.27634,-115.60259, -37.12314, 113.90676,-115.37385, -43.16007, 116.95762,-121.58143, -42.03062, 115.60966,-117.94745, -40.73130, 114.06656,-116.30873, -39.51791, 112.96250,-116.23890, -85.48104, 129.56315,-161.93869, -95.58488, 128.00753,-169.64809, -92.86591, 118.86074,-188.35487, -87.32998, 107.43245,-207.53161, -84.67648, 107.99661,-208.50359, -81.60889, 108.29266,-210.10268, -79.48477, 107.69380,-211.07592, -84.98663, 108.68158,-209.95887, -82.64780, 109.05871,-214.37237, -80.49360, 108.22328,-216.88435, -79.23424, 107.22319,-217.96048, -85.94114, 108.21454,-210.42594, -84.17641, 108.32969,-214.98346, -82.47988, 106.76713,-217.90722, -81.32761, 104.89948,-218.70201, -86.67723, 107.88501,-210.64753, -85.73720, 107.73610,-214.93657, -84.70791, 106.18568,-217.59491, -83.76602, 104.35752,-218.51262, -87.58528, 107.40508,-210.74010, -87.28493, 107.01122,-214.74673, -86.87640, 105.71160,-216.96008, -86.30620, 104.29116,-217.55453
   0.13334, -85.66983,  82.17117,-154.69727, -77.52072,  81.78356,-148.08729, -67.05523,  43.84761,-150.01008, -74.78514,   7.93992,-156.61834, -93.81894,  82.55877,-161.30724,-100.79419,  44.55053,-168.99359,-101.24961,   8.27726,-160.22863, -84.47982,  89.55369,-155.73147, -82.65024, 106.06361,-157.59334, -82.05581, 117.85613,-158.72914, -82.21668, 135.56627,-160.44717, -82.43761, 139.69026,-160.80066, -82.86351, 143.80267,-161.09671, -80.15951, 130.39140,-158.13830, -75.75305, 132.90802,-146.38279, -64.09075, 125.54978,-130.54463, -43.50863, 118.58837,-123.00044, -41.27981, 120.07185,-121.93471, -38.46202, 121.35976,-120.36751, -36.16838, 121.62084,-119.66837, -41.61882, 120.08917,-120.33222, -39.00499, 120.31524,-116.06512, -36.32032, 119.96964,-113.98626, -34.58420, 119.45087,-113.30731, -42.16411, 119.11074,-120.02772, -39.90972, 118.80183,-115.70097, -37.22668, 117.51727,-113.46056, -35.23752, 116.30372,-113.32618, -42.62169, 118.41991,-119.91421, -41.01413, 117.56697,-115.91547, -38.96495, 116.04310,-113.91330, -37.15729, 114.72670,-113.64697, -43.18309, 117.55660,-119.96897, -42.07141, 116.26881,-116.30780, -40.75379, 114.77592,-114.63747, -39.51056, 113.70768,-114.54059, -84.17636, 130.00796,-161.71483, -93.80103, 128.45312,-170.01486, -90.55875, 119.55253,-188.75699, -84.63911, 108.31200,-207.93010, -81.97562, 108.89378,-208.86360, -78.88954, 109.21500,-210.42172, -76.75178, 108.63227,-211.37467, -82.26998, 109.59243,-210.31565, -79.87825, 110.02089,-214.69600, -77.69077, 109.21717,-217.18949, -76.41520, 108.23171,-218.26000, -83.21723, 109.12729,-210.79911, -81.39698, 109.29353,-215.33315, -79.65983, 107.76551,-218.25131, -78.49211, 105.90937,-219.05053, -83.94952, 108.79783,-211.03305, -82.95639, 108.69488,-215.31145, -81.88971, 107.17434,-217.97232, -80.93097, 105.35831,-218.89664, -84.85488, 108.31616,-211.14161, -84.50408, 107.96353,-215.14798, -84.06437, 106.68747,-217.36904, -83.48252, 105.27477,-217.97064
   0.15000, -85.15396,  82.37096,-155.38556, -77.48556,  81.85242,-148.23177, -68.83837,  43.44997,-149.91640, -77.45835,   7.84661,-157.04938, -92.82236,  82.88951,-162.53935, -99.43070,  44.84964,-170.39164,-101.43212,   8.53483,-162.02436, -83.87706,  89.76443,-156.21840, -81.85868, 106.29005,-157.70871, -81.12289, 118.09250,-158.64039, -81.04680, 135.82331,-160.13672, -81.22929, 139.95130,-160.46449, -81.63362, 144.06596,-160.75954, -79.16641, 130.60290,-157.78013, -75.43464, 132.99388,-145.76765, -64.14696, 125.71467,-129.62450, -43.67141, 118.93881,-121.63454, -41.50789, 120.49789,-120.54250, -38.75908, 121.88358,-118.93666, -36.48747, 122.21964,-118.19871, -41.87653, 120.51887,-118.94660, -39.34916, 120.86046,-114.63533, -36.69383, 120.61386,-112.50531, -34.95566, 120.15348,-111.79043, -42.39775, 119.52714,-118.64299, -40.21468, 119.32370,-114.27364, -37.53582, 118.13995,-111.97350, -35.51399, 116.98804,-111.79211, -42.83645, 118.82386,-118.53140, -41.27750, 118.05434,-114.49665, -39.22058, 116.61025,-112.44392, -37.37948, 115.35122,-112.13294, -43.37064, 117.94359,-118.58833, -42.28807, 116.72159,-114.89601, -40.95712, 115.28356,-113.18854, -39.68444, 114.25411,-113.05943, -82.97330, 130.29801,-161.58648, -92.04322, 128.78251,-170.49615, -88.33818, 120.09099,-189.25063, -82.04741, 109.01391,-208.40068, -79.38370, 109.62607,-209.31394, -76.29121, 109.98556,-210.85082, -74.14234, 109.42859,-211.79416, -79.67556, 110.33126,-210.76334, -77.26102, 110.80963,-215.12596, -75.05094, 110.04198,-217.61087, -73.75978, 109.07512,-218.67967, -80.61550, 109.86054,-211.25559, -78.76903, 110.07244,-215.77711, -76.99996, 108.57911,-218.69405, -75.81029, 106.73891,-219.49775, -81.34326, 109.52586,-211.49615, -80.32296, 109.45937,-215.76888, -79.22597, 107.96572,-218.43265, -78.24487, 106.16451,-219.36248, -82.24346, 109.03660,-211.61337, -81.86482, 108.71281,-215.61964, -81.39971, 107.45505,-217.84597, -80.80118, 106.05163,-218.45288
