time,Hips.x,Hips.y,Hips.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightLeg.x,RightLeg.y,RightLeg.z,RightFoot.x,RightFoot.y,RightFoot.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Spine2.x,Spine2.y,Spine2.z,Neck.x,Neck.y,Neck.z,Neck1.x,Neck1.y,Neck1.z,Head.x,Head.y,Head.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightHand.x,RightHand.y,RightHand.z,RightHandThumb1.x,RightHandThumb1.y,RightHandThumb1.z,RightHandThumb2.x,RightHandThumb2.y,RightHandThumb2.z,RightHandThumb3.x,RightHandThumb3.y,RightHandThumb3.z,RightInHandIndex.x,RightInHandIndex.y,RightInHandIndex.z,RightHandIndex1.x,RightHandIndex1.y,RightHandIndex1.z,RightHandIndex2.x,RightHandIndex2.y,RightHandIndex2.z,RightHandIndex3.x,RightHandIndex3.y,RightHandIndex3.z,RightInHandMiddle.x,RightInHandMiddle.y,RightInHandMiddle.z,RightHandMiddle1.x,RightHandMiddle1.y,RightHandMiddle1.z,RightHandMiddle2.x,RightHandMiddle2.y,RightHandMiddle2.z,RightHandMiddle3.x,RightHandMiddle3.y,RightHandMiddle3.z,RightInHandRing.x,RightInHandRing.y,RightInHandRing.z,RightHandRing1.x,RightHandRing1.y,RightHandRing1.z,RightHandRing2.x,RightHandRing2.y,RightHandRing2.z,RightHandRing3.x,RightHandRing3.y,RightHandRing3.z,RightInHandPinky.x,RightInHandPinky.y,RightInHandPinky.z,RightHandPinky1.x,RightHandPinky1.y,RightHandPinky1.z,RightHandPinky2.x,RightHandPinky2.y,RightHandPinky2.z,RightHandPinky3.x,RightHandPinky3.y,RightHandPinky3.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftHand.x,LeftHand.y,LeftHand.z,LeftHandThumb1.x,LeftHandThumb1.y,LeftHandThumb1.z,LeftHandThumb2.x,LeftHandThumb2.y,LeftHandThumb2.z,LeftHandThumb3.x,LeftHandThumb3.y,LeftHandThumb3.z,LeftInHandIndex.x,LeftInHandIndex.y,LeftInHandIndex.z,LeftHandIndex1.x,LeftHandIndex1.y,LeftHandIndex1.z,LeftHandIndex2.x,LeftHandIndex2.y,LeftHandIndex2.z,LeftHandIndex3.x,LeftHandIndex3.y,LeftHandIndex3.z,LeftInHandMiddle.x,LeftInHandMiddle.y,LeftInHandMiddle.z,LeftHandMiddle1.x,LeftHandMiddle1.y,LeftHandMiddle1.z,LeftHandMiddle2.x,LeftHandMiddle2.y,LeftHandMiddle2.z,LeftHandMiddle3.x,LeftHandMiddle3.y,LeftHandMiddle3.z,LeftInHandRing.x,LeftInHandRing.y,LeftInHandRing.z,LeftHandRing1.x,LeftHandRing1.y,LeftHandRing1.z,LeftHandRing2.x,LeftHandRing2.y,LeftHandRing2.z,LeftHandRing3.x,LeftHandRing3.y,LeftHandRing3.z,LeftInHandPinky.x,LeftInHandPinky.y,LeftInHandPinky.z,LeftHandPinky1.x,LeftHandPinky1.y,LeftHandPinky1.z,LeftHandPinky2.x,LeftHandPinky2.y,LeftHandPinky2.z,LeftHandPinky3.x,LeftHandPinky3.y,LeftHandPinky3.z
   0.00000,   0.00000,  91.42999,   0.00000,  -9.25000,  91.42999,   0.00000,  -9.25000,  49.55999,   0.00000,  -9.25000,   7.68999,   0.00000,   9.25000,  91.42999,   0.00000,   9.25000,  49.55999,   0.00000,   9.25000,   7.68999,   0.00000,   0.00000,  99.24799,   0.00000,   0.00000, 116.55799,   0.00000,   0.00000, 128.84299,   0.00000,   0.00000, 147.26999,   0.00000,   0.00000, 152.00499,   0.00000,   0.00000, 156.73999,   0.00000,  -2.79200, 141.68599,   0.00000, -16.00000, 141.68599,   0.00000, -42.50000, 141.68599,   0.00000, -68.50000, 141.68599,   0.00000, -70.34200, 141.22499,   2.39500, -72.18300, 138.62142,   4.23600, -73.46250, 136.81194,   5.51550, -71.72400, 142.19399,   1.97800, -76.94100, 142.10299,   2.97700, -80.56100, 142.10299,   2.97700, -82.61300, 142.10299,   2.97700, -71.88200, 142.20399,   0.75700, -77.05600, 142.11999,   1.07100, -81.00500, 142.11999,   1.07100, -83.48100, 142.11999,   1.07100, -71.86600, 142.22399,  -0.12900, -76.50100, 142.20199,  -0.60800, -79.94300, 142.20199,  -0.60800, -82.33100, 142.20199,  -0.60800, -71.66100, 142.15599,  -1.20200, -75.80200, 142.13399,  -2.29300, -78.55900, 142.13399,  -2.29300, -80.30100, 142.13399,  -2.29300,   2.79200, 141.68599,   0.00000,  16.00000, 141.68599,   0.00000,  42.50000, 141.68599,   0.00000,  68.50000, 141.68599,   0.00000,  70.34200, 141.22499,   2.39500,  72.18300, 138.62142,   4.23600,  73.46250, 136.81194,   5.51550,  71.72400, 142.19399,   1.97800,  76.94100, 142.10299,   2.97700,  80.56100, 142.10299,   2.97700,  82.61300, 142.10299,   2.97700,  71.88200, 142.20399,   0.75700,  77.05600, 142.11999,   1.07100,  81.00500, 142.11999,   1.07100,  83.48100, 142.11999,   1.07100,  71.86600, 142.22399,  -0.12900,  76.50100, 142.20199,  -0.60800,  79.94300, 142.20199,  -0.60800,  82.33100, 142.20199,  -0.60800,  71.66100, 142.15599,  -1.20200,  75.80200, 142.13399,  -2.29300,  78.55900, 142.13399,  -2.29300,  80.30100, 142.13399,  -2.29300
   0.01667,-193.80815,  90.10272,-127.92096,-201.97168,  90.00327,-123.57247,-196.62017,  48.51815,-125.42794,-207.97577,   8.21751,-125.50036,-185.64462,  90.20217,-132.26945,-183.58425,  48.47068,-134.97759,-193.23931,   7.95332,-139.24613,-193.98342,  97.91731,-128.07129,-193.85750, 115.22362,-127.73665,-193.30916, 127.48043,-127.11121,-191.96847, 145.80486,-125.70692,-191.89956, 150.44683,-124.77549,-192.28184, 154.95571,-123.38119,-193.49420, 140.13803,-123.57725,-202.06645, 138.82819,-113.61472,-194.72486, 114.25287,-106.95103,-169.96546, 107.70629,-111.43596,-167.27428, 109.11068,-111.79202,-163.90793, 110.59498,-111.64488,-161.36904, 110.79664,-111.39623,-167.33815, 110.33023,-110.55453,-163.83638, 112.95885,-107.54598,-160.72314, 113.59027,-105.81006,-158.86618, 113.30350,-104.98533,-167.97459, 109.91738,-109.58479,-164.90289, 112.25745,-106.12579,-161.88202, 112.28874,-103.58258,-159.94676, 111.03369,-102.68245,-168.51565, 109.57042,-108.97443,-166.24218, 111.40401,-105.34367,-163.95114, 111.22052,-102.78148,-162.19453, 110.01987,-101.69737,-169.21780, 108.99437,-108.36359,-167.57468, 110.36427,-104.65385,-166.09808, 110.12646,-102.33778,-164.92538, 109.11529,-101.53974,-191.25528, 140.36586,-128.68768,-187.90585, 140.34718,-141.46391,-188.12709, 114.57737,-147.63787,-179.07903,  91.14219,-140.93526,-177.62335,  90.83469,-138.26544,-175.82095,  89.86139,-135.20584,-175.24689,  88.64958,-133.02628,-176.03470,  90.34631,-138.77579,-172.05774,  87.45351,-136.76608,-170.44606,  84.96165,-134.69304,-170.17304,  83.38130,-133.41294,-176.10828,  89.66949,-139.80165,-172.26947,  86.48145,-138.39599,-170.90294,  83.13586,-136.80406,-171.47654,  81.07444,-135.55823,-176.25042,  89.26910,-140.57956,-172.89984,  86.08279,-140.00145,-171.80647,  82.94970,-139.08729,-172.27941,  80.83771,-138.07815,-176.62035,  88.84611,-141.51882,-173.73561,  85.68164,-141.57403,-172.88162,  83.07619,-141.28529,-173.36004,  81.52241,-140.65964
   0.03333,-193.63438,  90.09014,-127.76118,-201.74424,  89.99392,-123.31332,-196.41995,  48.50494,-125.16087,-207.75728,   8.19913,-125.10705,-185.52453,  90.18636,-132.20905,-183.58724,  48.46179,-135.10806,-193.41952,   7.97634,-139.27348,-193.80581,  97.90494,-127.90470,-193.67368, 115.21129,-127.57454,-193.12540, 127.46893,-126.96565,-191.78967, 145.79676,-125.60151,-191.71919, 150.43950,-124.67400,-192.10271, 154.94833,-123.27987,-193.27986, 140.13064,-123.44496,-201.72717, 138.83005,-113.37507,-194.38411, 114.25875,-106.69820,-169.61903, 107.70986,-111.14820,-166.92719, 109.11497,-111.49633,-163.56088, 110.59843,-111.34010,-161.02231, 110.79905,-111.08731,-166.99264, 110.33085,-110.25531,-163.49476, 112.95009,-107.23409,-160.38387, 113.57599,-105.49197,-158.52810, 113.28655,-104.66550,-167.63048, 109.91520,-109.28769,-164.56333, 112.24461,-105.81748,-161.54600, 112.26798,-103.26998,-159.61215, 111.01004,-102.37089,-168.17243, 109.56649,-108.67912,-165.90381, 111.38901,-105.03976,-163.61636, 111.19764,-102.47494,-161.86140, 109.99356,-101.39196,-168.87550, 108.98871,-108.07097,-167.23739, 110.34738,-104.35489,-165.76404, 110.10252,-102.03749,-164.59257, 109.08884,-101.24082,-191.10902, 140.35499,-128.58482,-187.89921, 140.32942,-141.39684,-188.18251, 114.55147,-147.53415,-179.13332,  91.05265,-141.05977,-177.65929,  90.69750,-138.40598,-175.84601,  89.66751,-135.37147,-175.27252,  88.42692,-133.20802,-176.08338,  90.18806,-138.93490,-172.13646,  87.21314,-136.98680,-170.54732,  84.67686,-134.95055,-170.28877,  83.08079,-133.68706,-176.17704,  89.52181,-139.96604,-172.37839,  86.25940,-138.62332,-171.05253,  82.87786,-137.07353,-171.64860,  80.81484,-135.84096,-176.33256,  89.13082,-140.74616,-173.02935,  85.88552,-140.22653,-171.97912,  82.72700,-139.35011,-172.47746,  80.61392,-138.35557,-176.71762,  88.72238,-141.68579,-173.88541,  85.51220,-141.79504,-173.07146,  82.89074,-141.53715,-173.56958,  81.33933,-140.92105
   0.05000,-193.49750,  90.08247,-127.61220,-201.54543,  89.98998,-123.05317,-196.24482,  48.49779,-124.89668,-207.56039,   8.18620,-124.72335,-185.44957,  90.17495,-132.17123,-183.62600,  48.45918,-135.26408,-193.60039,   7.99760,-139.32236,-193.66473,  97.89748,-127.74887,-193.52421, 115.20380,-127.42092,-192.97385, 127.46200,-126.82518,-191.63991, 145.79240,-125.49429,-191.56662, 150.43572,-124.56993,-191.94896, 154.94456,-123.17550,-193.09890, 140.12691,-123.31487,-201.43028, 138.83306,-113.14799,-194.09160, 114.26247,-106.46370,-169.32074, 107.71188,-110.87893,-166.62856, 109.11798,-111.22036,-163.26249, 110.60114,-111.05645,-160.72421, 110.80119,-110.80026,-166.69547, 110.33064,-109.97627,-163.20113, 112.94217,-106.94430,-160.09225, 113.56367,-105.19702,-158.23741, 113.27215,-104.36920,-167.33440, 109.91246,-109.01045,-164.27129, 112.23299,-105.53074,-161.25686, 112.24987,-102.97975,-159.32398, 110.98967,-102.08172,-167.87703, 109.56216,-108.40341,-165.61262, 111.37533,-104.75676,-163.32808, 111.17740,-102.18984,-161.57431, 109.97058,-101.10799,-168.58076, 108.98279,-107.79755,-166.94693, 110.33189,-104.07611,-165.47622, 110.08108,-101.75767,-164.30562, 109.06538,-100.96230,-190.98938, 140.34844,-128.48032,-187.92400, 140.31562,-141.32764,-188.26469, 114.52941,-147.42726,-179.20231,  90.97125,-141.19139,-177.70708,  90.57495,-138.55535,-175.87949,  89.49599,-135.54654,-175.30370,  88.23194,-133.39733,-176.14494,  90.04423,-139.10384,-172.22608,  86.99421,-137.21617,-170.65671,  84.41945,-135.21316,-170.41065,  82.81102,-133.96292,-176.25970,  89.38651,-140.13831,-172.49983,  86.05547,-138.85635,-171.21207,  82.64301,-137.34260,-171.82821,  80.58142,-136.11753,-176.42936,  89.00330,-140.91935,-173.17298,  85.70275,-140.45518,-172.16414,  82.52217,-139.61043,-172.68580,  80.41059,-138.62473,-176.83044,  88.60735,-141.85761,-174.05083,  85.35358,-142.01720,-173.27603,  82.71791,-141.78497,-173.79240,  81.17045,-141.17398
   0.06667,-193.40582,  90.07121,-127.48835,-201.39718,  89.98189,-122.83080,-196.11852,  48.48683,-124.67266,-207.41071,   8.16943,-124.37190,-185.41447,  90.16053,-132.14590,-183.71368,  48.45607,-135.45378,-193.82120,   8.01347,-139.36928,-193.57004,  97.88638,-127.62024,-193.42287, 115.19274,-127.29739,-192.87008, 127.45153,-126.71627,-191.53488, 145.78431,-125.41988,-191.45804, 150.42836,-124.49949,-191.83876, 154.93775,-123.10639,-192.95952, 140.11953,-123.21603,-201.17153, 138.83120,-112.95180,-193.84103, 114.25882,-106.26509,-169.06584, 107.70701,-110.65417,-166.37385, 109.11479,-110.99009,-163.00845, 110.59878,-110.81990,-160.47049, 110.79917,-110.56095,-166.44233, 110.32473,-109.74345,-162.95169, 112.93094,-106.70265,-159.84462, 113.54974,-104.95118,-157.99044, 113.25709,-104.12229,-167.08199, 109.90424,-108.77912,-164.02289, 112.21832,-105.29160,-161.01080, 112.23075,-102.73782,-159.07830, 110.96929,-101.84075,-167.62505, 109.55244,-108.17334,-165.36462, 111.35852,-104.52071,-163.08237, 111.15584,-101.95213,-161.32916, 109.94730,-100.87128,-168.32914, 108.97151,-107.56938,-166.69919, 110.31314,-103.84353,-165.23051, 110.05784,-101.52430,-164.06028, 109.04084,-100.73005,-190.91946, 140.33820,-128.40943,-188.01876, 140.29566,-141.29490,-188.41849, 114.50067,-147.35366,-179.32770,  90.88333,-141.38888,-177.80910,  90.43909,-138.77392,-175.96647,  89.30330,-135.79536,-175.38891,  88.01220,-133.66276,-176.26363,  89.88395,-139.34499,-172.37995,  86.74766,-137.52727,-170.83504,  84.12893,-135.56261,-170.60409,  82.50658,-134.32757,-176.40273,  89.23651,-140.38296,-172.69035,  85.82688,-139.17110,-171.44826,  82.37962,-137.69861,-172.08799,  80.32028,-136.48188,-176.58866,  88.86256,-141.16478,-173.38871,  85.49905,-140.76440,-172.42907,  82.29397,-139.95578,-172.97809,  80.18476,-138.97989,-177.00803,  88.48136,-142.10116,-174.29123,  85.17827,-142.31843,-173.56269,  82.52703,-142.11536,-174.10040,  80.98466,-141.50995
   0.08334,-193.35324,  90.05824,-127.38287,-201.28530,  89.97165,-122.62499,-196.02368,  48.47436,-124.46540,-207.29467,   8.15199,-124.05640,-185.42118,  90.14483,-132.14076,-183.82708,  48.45129,-135.63415,-194.03030,   8.01654,-139.37883,-193.51526,  97.87352,-127.51076,-193.36061, 115.17990,-127.19230,-192.80242, 127.43905,-126.62410,-191.45828, 145.77332,-125.35838,-191.37611, 150.41800,-124.44165,-191.75339, 154.92816,-123.05011,-192.85050, 140.10942,-123.13166,-200.92516, 138.82660,-112.75835,-193.60520, 114.25035,-106.07430,-168.82663, 107.69466,-110.43837,-166.13504, 109.10431,-110.76964,-162.77046, 110.58956,-110.59413,-160.23279, 110.79065,-110.33286,-166.20504, 110.31192,-109.52081,-162.71794, 112.91413,-106.47253,-159.61250, 113.53115,-104.71755,-157.75882, 113.23783,-103.88778,-166.84524, 109.88935,-108.55775,-163.78988, 112.19841,-105.06362,-160.77976, 112.20752,-102.50752,-158.84736, 110.94531,-101.61130,-167.38860, 109.53618,-107.95303,-165.13181, 111.33656,-104.29535,-162.85142, 111.13020,-101.72540,-161.09847, 109.92049,-100.64545,-168.09287, 108.95381,-107.35069,-166.46640, 110.28931,-103.62112,-164.99938, 110.03041,-101.30124,-163.82928, 109.01249,-100.50798,-190.88070, 140.32542,-128.35222,-188.12818, 140.27295,-141.27012,-188.59344, 114.46809,-147.28200,-179.46733,  90.80447,-141.55948,-177.92883,  90.31581,-138.96416,-176.07420,  89.12761,-136.01362,-175.49596,  87.81155,-133.89652,-176.39910,  89.73890,-139.55567,-172.54993,  86.52463,-137.80191,-171.02874,  83.86612,-135.87248,-170.81217,  82.23119,-134.65149,-176.56011,  89.10144,-140.59664,-172.89324,  85.62116,-139.44879,-171.69404,  82.14290,-138.01411,-172.35554,  80.08584,-136.80519,-176.76061,  88.73635,-141.37905,-173.61388,  85.31668,-141.03679,-172.70002,  82.09013,-140.26119,-173.27422,  79.98343,-139.29441,-177.19625,  88.36906,-142.31355,-174.53811,  85.02240,-142.58329,-173.85235,  82.35789,-142.40679,-174.40960,  80.82042,-141.80658
   0.10000,-193.33519,  90.04594,-127.29499,-201.19715,  89.96205,-122.42210,-195.95065,  48.46273,-124.25991,-207.20503,   8.13695,-123.74251,-185.47323,  90.12984,-132.16788,-183.98135,  48.44723,-135.83276,-194.24329,   8.01203,-139.40819,-193.49557,  97.86131,-127.41920,-193.33224, 115.16766,-127.10361,-192.76637, 127.42693,-126.54560,-191.40884, 145.76192,-125.30482,-191.31997, 150.40700,-124.39075,-191.69144, 154.91774,-122.99953,-192.77351, 140.09895,-123.05878,-200.72380, 138.82072,-112.58929,-193.42004, 114.23706,-105.91483,-168.63823, 107.67545,-110.25154,-165.94715, 109.08674,-110.58003,-162.58336, 110.57336,-110.40137,-160.04589, 110.77536,-110.13874,-166.01828, 110.29293,-109.32990,-162.53377, 112.89339,-106.27717,-159.42942, 113.50992,-104.52011,-157.57596, 113.21655,-103.68984,-166.65872, 109.86899,-108.36760,-163.60602, 112.17561,-104.86954,-160.59704, 112.18330,-102.31208,-158.66445, 110.92100,-101.41639,-167.20218, 109.51490,-107.76352,-164.94788, 111.31228,-104.10282,-162.66855, 111.10415,-101.53209,-160.91552, 109.89406,-100.45268,-167.90645, 108.93153,-107.16214,-166.28228, 110.26366,-103.43036,-164.81618, 110.00287,-101.11011,-163.64596, 108.98462,-100.31745,-190.86693, 140.31266,-128.30286,-188.26393, 140.24763,-141.25166,-188.78620, 114.43403,-147.22118,-179.61818,  90.73106,-141.73328,-178.05806,  90.19768,-139.15975,-176.18954,  88.95699,-136.23975,-175.60898,  87.61595,-134.13902,-176.54525,  89.59957,-139.77329,-172.73063,  86.30848,-138.08781,-171.23212,  83.61078,-136.19539,-171.02893,  81.96356,-134.98871,-176.72907,  88.97254,-140.81682,-173.10823,  85.42297,-139.73695,-171.95120,  81.91470,-138.34129,-172.63316,  79.86021,-137.13937,-176.94476,  88.61660,-141.59940,-173.85232,  85.14226,-141.31851,-172.98397,  81.89525,-140.57671,-173.58231,  79.79145,-139.61830,-177.39737,  88.26352,-142.53131,-174.79928,  84.87485,-142.85610,-174.15650,  82.19799,-142.70667,-174.73255,  80.66573,-142.11093
   0.11667,-193.33931,  90.03633,-127.22952,-201.13581,  89.95471,-122.25252,-195.90252,  48.45350,-124.08516,-207.14397,   8.12593,-123.44190,-185.54281,  90.11795,-132.20651,-184.17458,  48.44633,-136.04068,-194.47081,   8.00447,-139.43776,-193.49866,  97.85176,-127.35096,-193.32588, 115.15807,-127.03774,-192.74948, 127.41724,-126.48843,-191.37082, 145.75208,-125.26900,-191.27413, 150.39743,-124.35704,-191.63952, 154.90882,-122.96634,-192.70952, 140.09010,-123.00491,-200.53301, 138.81579,-112.43985,-193.25102, 114.22077,-105.78345,-168.46657, 107.65320,-110.09603,-165.77583, 109.06558,-110.42255,-162.41255, 110.55310,-110.24165,-159.87523, 110.75566,-109.97810,-165.84771, 110.27072,-109.17146,-162.36493, 112.86976,-106.11555,-159.26129, 113.48581,-104.35704,-157.40800, 113.19233,-103.52645,-166.48831, 109.84580,-108.20970,-163.43737, 112.15050,-104.70882,-160.42917, 112.15702,-102.15045,-158.49646, 110.89458,-101.25521,-167.03184, 109.49104,-107.60607,-164.77920, 111.28612,-103.94322,-162.50058, 111.07658,-101.37197,-160.74750, 109.86615,-100.29303,-167.73611, 108.90696,-107.00538,-166.11348, 110.23654,-103.27202,-164.64800, 109.97430,-100.95154,-163.47770, 108.95576,-100.15936,-190.86769, 140.30192,-128.27215,-188.43541, 140.22182,-141.25402,-189.01118, 114.40074,-147.18616,-179.80636,  90.65374,-141.95630,-178.21818,  90.07578,-139.40970,-176.32882,  88.78292,-136.52596,-175.74083,  87.41755,-134.44306,-176.72508,  89.45603,-140.04949,-172.94364,  86.08827,-138.44256,-171.46442,  83.35214,-136.59055,-171.27209,  81.69333,-135.39805,-176.93496,  88.83951,-141.09436,-173.36059,  85.22085,-140.09183,-172.24405,  81.68360,-138.73690,-172.94375,  79.63284,-137.53882,-177.16821,  88.49278,-141.87604,-174.13250,  84.96395,-141.66407,-173.30963,  81.69742,-140.95692,-173.93014,  79.59761,-140.00387,-177.64045,  88.15401,-142.80351,-175.10636,  84.72353,-143.18928,-174.50781,  82.03505,-143.06726,-175.10147,  80.50881,-142.47334
   0.13334,-193.35162,  90.03065,-127.18953,-201.07882,  89.95035,-122.10559,-195.85395,  48.44773,-123.93045,-207.09054,   8.12082,-123.17139,-185.62443,  90.11096,-132.27347,-184.37650,  48.44702,-136.23024,-194.70802,   7.99925,-139.44487,-193.51149,  97.84611,-127.30906,-193.32995, 115.15237,-126.99867,-192.74094, 127.41133,-126.45809,-191.33466, 145.74546,-125.25968,-191.22857, 150.39095,-124.34952,-191.58694, 154.90300,-122.95911,-192.64457, 140.08441,-122.97649,-200.32151, 138.81310,-112.30412,-193.06095, 114.20593,-105.66924,-168.27406, 107.63669,-109.96517,-165.58372, 109.05039,-110.28928,-162.22103, 110.53892,-110.10567,-159.68387, 110.74211,-109.84106,-165.65644, 110.25416,-109.03692,-162.17561, 112.85116,-105.97706,-159.07278, 113.46644,-104.21687,-157.21965, 113.17273,-103.38598,-166.29721, 109.82797,-108.07583,-163.24826, 112.13000,-104.57147,-160.24090, 112.13485,-102.01209,-158.30804, 110.87215,-101.11757,-166.84081, 109.47237,-107.47276,-164.59003, 111.26432,-103.80724,-162.31218, 111.05283,-101.23546,-160.55903, 109.84187,-100.15724,-167.54507, 108.88739,-106.87293,-165.92416, 110.21353,-103.13761,-164.45934, 109.94933,-100.81693,-163.28894, 108.93036,-100.02546,-190.87704, 140.29480,-128.26919,-188.59933, 140.20083,-141.27897,-189.23693, 114.37322,-147.17627,-180.01032,  90.58631,-142.17101,-178.39358,  89.97404,-139.65054,-176.48062,  88.64117,-136.80077,-175.88133,  87.25749,-134.73322,-176.91848,  89.33728,-140.31490,-173.16060,  85.91041,-138.77924,-171.69232,  83.14517,-136.96209,-171.50547,  81.47793,-135.78052,-177.15183,  88.72892,-141.35957,-173.61314,  85.05702,-140.42645,-172.52558,  81.49817,-139.10493,-173.23586,  79.45113,-137.90672,-177.40106,  88.38931,-142.13945,-174.41109,  84.81853,-141.98855,-173.62281,  81.53762,-141.30916,-174.25812,  79.44167,-140.35735,-177.89122,  88.06165,-143.06160,-175.41007,  84.59903,-143.50061,-174.84661,  81.90208,-143.40025,-175.45243,  80.38109,-142.80515
   0.15000,-193.36255,  90.02779,-127.16205,-201.00774,  89.94833,-121.95559,-195.78353,  48.44541,-123.77550,-207.02306,   8.12189,-122.89010,-185.71736,  90.10726,-132.36851,-184.60786,  48.44684,-136.40280,-194.97381,   7.99636,-139.46915,-193.52415,  97.84323,-127.28006,-193.33420, 115.14944,-126.97151,-192.73165, 127.40803,-126.43746,-191.29582, 145.74092,-125.25525,-191.17925, 150.38633,-124.34594,-191.52808, 154.89872,-122.95424,-192.58089, 140.08064,-122.95609,-200.12336, 138.81064,-112.18810,-192.88288, 114.19017,-105.58069,-168.09333, 107.62384,-109.86575,-165.40329, 109.03869,-110.18731,-162.04110, 110.52799,-110.00082,-159.50410, 110.73162,-109.73508,-165.47680, 110.24102,-108.93360,-161.99780, 112.83555,-105.86957,-158.89577, 113.44972,-104.10758,-157.04285, 113.15561,-103.27638,-166.11778, 109.81355,-107.97322,-163.07074, 112.11247,-104.46517,-160.06428, 112.11529,-101.90474,-158.13136, 110.85213,-101.01097,-166.66149, 109.45710,-107.37075,-164.41252, 111.24553,-103.70240,-162.13552, 111.03178,-101.13006,-160.38239, 109.82010,-100.05260,-167.36580, 108.87124,-106.77184,-165.74658, 110.19360,-103.03444,-164.28250, 109.92718,-100.71354,-163.11208, 108.90765, -99.92282,-190.88096, 140.29023,-128.27091,-188.76259, 140.18291,-141.30749,-189.45891, 114.35088,-147.17872,-180.22903,  90.51982,-142.39440,-178.58085,  89.88133,-139.90094,-176.63919,  88.51796,-137.08522,-176.02338,  87.12054,-135.03181,-177.12287,  89.23136,-140.58985,-173.37887,  85.75930,-139.12337,-171.91275,  82.97210,-137.33832,-171.72577,  81.29871,-136.16549,-177.37852,  88.62929,-141.63295,-173.86542,  84.91672,-140.76644,-172.79594,  81.34178,-139.47391,-173.50973,  79.29807,-138.27211,-177.64316,  88.29517,-142.41012,-174.68948,  84.69235,-142.31704,-173.92600,  81.40083,-141.66105,-174.56911,  79.30831,-140.70692,-178.15072,  87.97606,-143.32583,-175.71357,  84.48892,-143.81448,-175.17744,  81.78581,-143.73201,-175.79034,  80.26919,-143.13302
