time,Hips.x,Hips.y,Hips.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightLeg.x,RightLeg.y,RightLeg.z,RightFoot.x,RightFoot.y,RightFoot.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Spine2.x,Spine2.y,Spine2.z,Neck.x,Neck.y,Neck.z,Neck1.x,Neck1.y,Neck1.z,Head.x,Head.y,Head.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightHand.x,RightHand.y,RightHand.z,RightHandThumb1.x,RightHandThumb1.y,RightHandThumb1.z,RightHandThumb2.x,RightHandThumb2.y,RightHandThumb2.z,RightHandThumb3.x,RightHandThumb3.y,RightHandThumb3.z,RightInHandIndex.x,RightInHandIndex.y,RightInHandIndex.z,RightHandIndex1.x,RightHandIndex1.y,RightHandIndex1.z,RightHandIndex2.x,RightHandIndex2.y,RightHandIndex2.z,RightHandIndex3.x,RightHandIndex3.y,RightHandIndex3.z,RightInHandMiddle.x,RightInHandMiddle.y,RightInHandMiddle.z,RightHandMiddle1.x,RightHandMiddle1.y,RightHandMiddle1.z,RightHandMiddle2.x,RightHandMiddle2.y,RightHandMiddle2.z,RightHandMiddle3.x,RightHandMiddle3.y,RightHandMiddle3.z,RightInHandRing.x,RightInHandRing.y,RightInHandRing.z,RightHandRing1.x,RightHandRing1.y,RightHandRing1.z,RightHandRing2.x,RightHandRing2.y,RightHandRing2.z,RightHandRing3.x,RightHandRing3.y,RightHandRing3.z,RightInHandPinky.x,RightInHandPinky.y,RightInHandPinky.z,RightHandPinky1.x,RightHandPinky1.y,RightHandPinky1.z,RightHandPinky2.x,RightHandPinky2.y,RightHandPinky2.z,RightHandPinky3.x,RightHandPinky3.y,RightHandPinky3.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftHand.x,LeftHand.y,LeftHand.z,LeftHandThumb1.x,LeftHandThumb1.y,LeftHandThumb1.z,LeftHandThumb2.x,LeftHandThumb2.y,LeftHandThumb2.z,LeftHandThumb3.x,LeftHandThumb3.y,LeftHandThumb3.z,LeftInHandIndex.x,LeftInHandIndex.y,LeftInHandIndex.z,LeftHandIndex1.x,LeftHandIndex1.y,LeftHandIndex1.z,LeftHandIndex2.x,LeftHandIndex2.y,LeftHandIndex2.z,LeftHandIndex3.x,LeftHandIndex3.y,LeftHandIndex3.z,LeftInHandMiddle.x,LeftInHandMiddle.y,LeftInHandMiddle.z,LeftHandMiddle1.x,LeftHandMiddle1.y,LeftHandMiddle1.z,LeftHandMiddle2.x,LeftHandMiddle2.y,LeftHandMiddle2.z,LeftHandMiddle3.x,LeftHandMiddle3.y,LeftHandMiddle3.z,LeftInHandRing.x,LeftInHandRing.y,LeftInHandRing.z,LeftHandRing1.x,LeftHandRing1.y,LeftHandRing1.z,LeftHandRing2.x,LeftHandRing2.y,LeftHandRing2.z,LeftHandRing3.x,LeftHandRing3.y,LeftHandRing3.z,LeftInHandPinky.x,LeftInHandPinky.y,LeftInHandPinky.z,LeftHandPinky1.x,LeftHandPinky1.y,LeftHandPinky1.z,LeftHandPinky2.x,LeftHandPinky2.y,LeftHandPinky2.z,LeftHandPinky3.x,LeftHandPinky3.y,LeftHandPinky3.z
   0.00000,   0.00000,  94.09000,   0.00000,  -9.62500,  94.09000,   0.00000,  -9.62500,  50.97000,   0.00000,  -9.62500,   7.85000,   0.00000,   9.62500,  94.09000,   0.00000,   9.62500,  50.97000,   0.00000,   9.62500,   7.85000,   0.00000,   0.00000, 102.15300,   0.00000,   0.00000, 120.00600,   0.00000,   0.00000, 132.67600,   0.00000,   0.00000, 151.68100,   0.00000,   0.00000, 156.54100,   0.00000,   0.00000, 161.40100,   0.00000,  -2.88000, 145.92200,   0.00000, -16.37500, 145.92200,   0.00000, -43.62500, 145.92200,   0.00000, -70.37500, 145.92200,   0.00000, -72.27000, 145.44800,   2.46300, -74.16400, 142.76948,   4.35700, -75.48000, 140.90837,   5.67300, -73.69100, 146.44500,   2.03500, -79.05700, 146.35100,   3.06300, -82.78000, 146.35100,   3.06300, -84.89100, 146.35100,   3.06300, -73.85400, 146.45400,   0.77900, -79.17600, 146.36800,   1.10200, -83.23800, 146.36800,   1.10200, -85.78500, 146.36800,   1.10200, -73.83700, 146.47500,  -0.13300, -78.60400, 146.45200,  -0.62600, -82.14400, 146.45200,  -0.62600, -84.60100, 146.45200,  -0.62600, -73.62600, 146.40500,  -1.23600, -77.88500, 146.38200,  -2.35800, -80.72000, 146.38200,  -2.35800, -82.51100, 146.38200,  -2.35800,   2.88000, 145.92200,   0.00000,  16.37500, 145.92200,   0.00000,  43.62500, 145.92200,   0.00000,  70.37500, 145.92200,   0.00000,  72.27000, 145.44800,   2.46300,  74.16400, 142.76948,   4.35700,  75.48000, 140.90837,   5.67300,  73.69100, 146.44500,   2.03500,  79.05700, 146.35100,   3.06300,  82.78000, 146.35100,   3.06300,  84.89100, 146.35100,   3.06300,  73.85400, 146.45400,   0.77900,  79.17600, 146.36800,   1.10200,  83.23800, 146.36800,   1.10200,  85.78500, 146.36800,   1.10200,  73.83700, 146.47500,  -0.13300,  78.60400, 146.45200,  -0.62600,  82.14400, 146.45200,  -0.62600,  84.60100, 146.45200,  -0.62600,  73.62600, 146.40500,  -1.23600,  77.88500, 146.38200,  -2.35800,  80.72000, 146.38200,  -2.35800,  82.51100, 146.38200,  -2.35800
   0.01667, -75.60164,  86.85040, -50.51506, -72.48699,  86.74123, -59.62152, -64.72972,  49.49871, -79.92309, -47.56071,  10.01969, -77.48055, -78.71629,  86.95956, -41.40860, -93.11775,  49.40832, -25.85750, -84.10619,   8.66882, -36.73957, -77.20932,  94.72518, -51.15933, -82.12582, 111.80594, -52.83429, -86.57231, 123.60513, -54.07388, -94.31518, 140.87237, -55.82906, -95.82692, 145.48673, -56.03364, -96.78973, 150.24903, -55.91903, -91.42301, 135.59733, -58.12466, -88.15037, 136.01461, -71.21018, -84.31156, 110.96785, -81.23442, -95.33091,  88.07811, -89.61274, -98.35690,  87.27941, -89.31688,-101.81190,  85.73501, -89.15332,-103.77561,  84.11215, -88.49178, -98.79979,  86.87364, -91.00081,-102.38144,  83.56984, -93.47392,-104.67795,  80.66754, -93.87815,-105.66359,  78.83470, -93.52383, -97.80495,  86.37292, -91.60392,-100.76007,  82.88011, -94.34306,-102.38564,  79.20062, -94.90763,-102.77068,  76.88933, -93.90919, -97.01561,  86.10909, -91.97784, -98.99619,  82.76887, -94.78642, -99.93043,  79.42841, -95.49364,-100.17124,  77.10797, -94.72268, -95.95595,  85.85203, -92.25545, -97.14031,  82.64989, -95.03790, -97.49387,  79.95790, -95.85364, -97.49716,  78.27351, -95.24496, -92.51477, 135.68258, -52.46972, -95.64869, 135.14958, -39.35448, -83.24109, 112.14282, -31.65364, -70.48917,  92.45433, -18.79618, -72.57062,  90.10230, -18.66356, -74.59964,  86.93178, -18.23949, -75.33780,  84.41317, -18.43737, -72.72858,  89.84568, -16.90128, -73.91218,  85.66091, -13.59276, -74.23011,  82.11426, -12.50605, -74.03887,  80.01236, -12.46383, -71.62699,  90.08903, -16.32554, -72.18569,  86.13956, -12.78648, -71.51651,  82.35104, -11.48297, -70.55571,  80.06267, -12.05519, -70.82580,  90.37172, -15.99290, -70.65626,  87.08925, -12.50513, -69.59843,  83.98032, -11.18333, -68.51394,  81.80543, -11.54471, -69.80215,  90.78864, -15.78230, -69.04441,  88.04653, -12.41998, -67.86065,  85.80403, -11.15227, -66.92999,  84.30921, -11.47949
   0.03333, -77.61055,  86.72949, -52.23479, -75.33786,  86.73208, -61.58763, -67.87479,  49.59938, -82.19830, -49.96229,  10.38527, -81.34372, -79.88324,  86.72691, -42.88196, -92.09313,  48.35020, -27.47153, -83.74751,   8.24943, -40.94793, -79.35976,  94.58910, -52.65767, -84.41380, 111.67872, -53.72128, -88.82630, 123.53232, -54.46345, -96.35818, 140.95442, -55.42838, -97.81282, 145.59118, -55.49248, -98.71719, 150.36240, -55.29961, -93.75067, 135.65717, -57.99751, -91.35121, 136.12728, -71.26915, -88.30069, 110.90375, -81.11954,-100.09993,  87.95796, -88.17869,-103.10376,  87.22591, -87.61023,-106.55806,  85.75259, -87.11413,-108.48656,  84.18834, -86.24152,-103.69045,  86.77630, -89.23813,-107.51675,  83.46501, -91.30074,-109.88543,  80.59522, -91.42082,-110.86803,  78.79316, -90.92746,-102.75693,  86.23841, -89.90403,-105.98392,  82.71817, -92.27676,-107.70981,  79.05410, -92.58617,-108.04859,  76.78268, -91.48478,-102.00548,  85.94827, -90.33251,-104.26461,  82.56003, -92.85918,-105.30789,  79.21733, -93.37832,-105.52186,  76.92696, -92.51504,-100.97660,  85.66281, -90.68742,-102.43795,  82.39840, -93.25774,-102.90105,  79.68944, -93.95365,-102.88141,  78.02518, -93.29218, -94.40099, 135.69300, -52.27445, -96.70783, 135.05873, -38.99321, -84.21796, 111.69740, -32.60466, -70.81444,  91.83762, -20.70939, -72.86437,  89.46801, -20.45479, -74.83610,  86.27825, -19.91938, -75.56697,  83.75530, -20.08663, -72.90078,  89.19726, -18.68793, -73.82624,  84.97902, -15.33986, -74.04318,  81.42208, -14.26197, -73.83369,  79.32154, -14.24926, -71.76462,  89.44524, -18.18610, -72.05280,  85.46564, -14.64842, -71.26843,  81.67320, -13.42287, -70.33134,  79.39688, -14.07666, -70.94491,  89.73193, -17.90618, -70.51503,  86.42552, -14.46369, -69.34680,  83.31562, -13.24083, -68.27289,  81.15224, -13.69174, -69.91253,  90.15552, -17.76200, -68.90837,  87.39509, -14.48021, -67.62468,  85.15298, -13.31304, -66.70707,  83.66813, -13.71414
   0.05000, -79.62534,  86.60689, -53.95749, -78.11853,  86.69389, -63.46342, -71.25963,  49.60794, -84.36609, -52.65574,  10.71089, -84.86500, -81.13215,  86.51989, -44.45157, -91.37734,  47.44742, -29.36140, -83.58449,   8.11473, -45.22158, -81.50131,  94.44537, -54.18312, -86.65559, 111.52988, -54.71482, -91.00862, 123.42449, -55.02831, -98.29925, 140.97320, -55.30993, -99.69446, 145.62825, -55.25048,-100.54143, 150.40666, -54.98772, -95.96381, 135.66175, -58.10182, -94.52689, 136.17914, -71.51012, -92.11706, 110.82534, -81.20239,-104.51608,  87.83477, -86.96958,-107.47317,  87.14726, -86.15409,-110.89097,  85.72151, -85.35736,-112.75933,  84.19879, -84.30002,-108.18694,  86.66351, -87.72027,-112.18736,  83.34099, -89.39869,-114.58155,  80.49311, -89.26389,-115.53795,  78.71378, -88.65104,-107.31180,  86.09998, -88.44190,-110.74025,  82.55488, -90.47008,-112.51460,  78.90185, -90.55309,-112.78618,  76.66185, -89.37163,-106.59791,  85.79178, -88.91923,-109.07216,  82.36510, -91.17839,-110.17946,  79.02127, -91.53095,-110.34506,  76.75519, -90.59591,-105.60173,  85.48730, -89.34461,-107.28293,  82.17528, -91.71159,-107.82022,  79.45476, -92.30092,-107.76333,  77.80724, -91.60084, -96.21620, 135.64924, -52.34737, -97.68027, 134.93805, -38.95088, -85.35757, 111.22964, -33.60067, -71.62207,  91.06842, -22.62690, -73.65802,  88.69726, -22.28843, -75.60179,  85.50298, -21.68236, -76.34319,  82.98230, -21.83700, -73.60054,  88.40785, -20.52509, -74.35077,  84.15489, -17.17709, -74.51373,  80.58686, -16.12670, -74.30608,  78.48620, -16.14729, -72.43900,  88.64996, -20.08191, -72.54251,  84.63331, -16.57603, -71.69796,  80.82773, -15.43402, -70.79943,  78.55799, -16.16076, -71.60524,  88.93327, -19.84306, -70.99607,  85.59042, -16.46339, -69.76763,  82.46720, -15.33734, -68.72155,  80.30817, -15.86759, -70.56620,  89.35480, -19.74964, -69.39155,  86.55933, -16.55527, -68.04987,  84.30436, -15.48183, -67.15650,  82.82339, -15.94688
   0.06667, -81.62783,  86.45953, -55.47950, -80.92798,  86.57525, -65.07832, -74.85367,  49.45917, -86.16940, -55.54997,  10.94343, -87.96913, -82.32768,  86.34380, -45.88067, -90.71452,  46.64192, -31.29451, -83.04987,   7.93072, -48.67352, -83.67577,  94.25791, -55.53479, -88.98551, 111.30292, -55.59755, -93.28916, 123.21938, -55.52244,-100.32476, 140.87040, -55.15927,-101.65826, 145.54042, -54.97972,-102.44515, 150.32470, -54.64643, -98.26855, 135.55072, -58.14818, -97.68497, 136.12021, -71.61852, -95.81036, 110.67485, -81.18838,-108.68228,  87.63039, -85.52762,-111.57119,  86.97267, -84.47706,-114.92403,  85.57903, -83.39760,-116.71244,  84.08419, -82.17512,-112.40475,  86.46719, -85.97576,-116.53589,  83.13963, -87.28747,-118.92478,  80.30757, -86.92225,-119.83901,  78.54383, -86.20829,-111.58978,  85.88707, -86.75260,-115.17833,  82.32807, -88.45297,-116.96929,  78.68400, -88.33875,-117.15915,  76.46523, -87.10253,-110.91581,  85.56715, -87.27785,-113.57015,  82.11750, -89.28341,-114.71533,  78.77448, -89.49409,-114.81848,  76.52501, -88.51120,-109.95640,  85.25024, -87.77295,-111.82778,  81.90911, -89.94854,-112.42010,  79.18227, -90.44930,-112.31679,  77.54618, -89.72805, -98.11704, 135.49265, -52.39047, -98.57180, 134.71850, -38.92537, -86.69907, 110.62331, -34.34036, -72.89863,  90.00424, -24.34214, -74.94485,  87.64884, -23.95859, -76.89697,  84.46497, -23.32522, -77.67192,  81.95509, -23.49067, -74.81751,  87.32883, -22.20422, -75.47520,  83.02742, -18.89894, -75.63385,  79.44388, -17.90206, -75.45043,  77.34184, -17.96615, -73.63600,  87.55133, -21.80584, -73.63839,  83.47679, -18.36585, -72.78929,  79.64378, -17.32333, -71.94678,  77.37758, -18.12443, -72.78997,  87.82189, -21.59724, -72.07814,  84.41581, -18.30182, -70.83863,  81.26130, -17.27990, -69.83934,  79.10093, -17.88902, -71.74336,  88.23101, -21.54018, -70.46822,  85.36949, -18.44434, -69.10816,  83.08281, -17.46529, -68.25124,  81.60081, -17.99165
   0.08334, -83.59774,  86.40701, -56.77480, -83.79902,  86.50132, -66.39723, -78.94037,  49.22528, -87.52127, -58.97610,  11.11352, -90.39462, -83.39646,  86.31271, -47.15236, -90.41995,  46.22940, -32.89288, -82.65199,   7.95418, -51.16856, -85.82891,  94.15419, -56.65220, -91.30627, 111.14103, -56.23308, -95.55863, 123.06650, -55.75413,-102.32212, 140.79585, -54.69802,-103.58886, 145.47755, -54.38709,-104.30801, 150.26639, -53.97546,-100.57680, 135.47793, -57.88142,-100.85891, 136.07347, -71.36032, -99.50465, 110.55297, -80.81721,-112.62264,  87.44981, -83.93567,-115.41327,  86.81208, -82.63654,-118.66530,  85.44022, -81.26130,-120.34663,  83.96386, -79.87534,-116.37223,  86.29340, -84.05352,-120.60708,  82.96492, -84.97375,-122.96244,  80.14423, -84.37651,-123.81654,  78.39094, -83.56854,-115.62747,  85.70262, -84.89047,-119.35520,  82.13695, -86.24152,-121.13788,  78.49980, -85.93639,-121.22685,  76.29479, -84.66470,-115.00125,  85.37511, -85.46758,-117.82385,  81.91269, -87.20322,-118.99003,  78.57117, -87.27989,-119.01419,  76.33251, -86.26762,-114.08805,  85.05005, -86.03893,-116.14473,  81.69193, -88.01164,-116.78337,  78.96181, -88.43090,-116.62270,  77.33310, -87.70346, -99.96842, 135.36888, -52.15468, -99.47067, 134.56654, -38.69275, -88.30235, 110.02264, -34.76493, -74.71670,  88.89543, -25.56526, -76.79207,  86.56954, -25.15888, -78.77991,  83.40766, -24.52648, -79.60932,  80.91740, -24.72176, -76.60353,  86.20397, -23.41898, -77.21702,  81.83508, -20.19470, -77.40685,  78.23154, -19.27862, -77.26695,  76.12869, -19.40020, -75.40345,  86.39465, -23.06172, -75.35267,  82.23707, -19.72294, -74.53877,  78.36440, -18.80652, -73.77195,  76.10350, -19.69395, -74.54492,  86.64427, -22.87981, -73.77314,  83.14518, -19.69725, -72.55680,  79.94399, -18.80034, -71.62389,  77.78121, -19.49956, -73.48913,  87.03241, -22.85377, -72.15165,  84.07214, -19.87947, -70.79965,  81.73718, -19.00926, -69.99261,  80.25305, -19.60400
   0.10000, -85.61972,  86.42293, -57.77203, -86.59658,  86.47204, -67.34720, -83.45884,  48.95229, -88.36522, -62.76022,  11.33501, -92.34539, -84.64286,  86.37383, -48.19686, -90.55316,  45.99221, -34.27824, -82.59099,   8.10912, -53.27324, -87.97815,  94.12821, -57.49191, -93.57013, 111.06261, -56.66382, -97.78120, 122.98423, -55.84490,-104.33635, 140.74669, -54.19721,-105.54897, 145.43382, -53.77297,-106.20861, 150.22495, -53.29381,-102.85777, 135.43969, -57.53038,-104.15393, 136.06808, -70.94828,-103.18853, 110.50033, -80.32488,-116.33087,  87.28636, -82.31303,-119.01720,  86.65154, -80.80879,-122.15798,  85.28282, -79.19294,-123.73163,  83.80937, -77.68297,-120.07886,  86.13030, -82.14955,-124.37044,  82.80071, -82.74597,-126.67491,  79.98153, -81.96985,-127.46659,  78.22992, -81.09725,-119.39839,  85.53780, -83.03842,-123.21630,  81.97012, -84.10172,-124.97140,  78.33385, -83.65792,-124.96559,  76.13128, -82.37890,-118.81682,  85.20909, -83.65987,-121.76069,  81.74379, -85.17419,-122.92937,  78.40231, -85.15752,-122.87823,  76.16560, -84.14197,-117.94863,  84.88280, -84.29690,-120.14633,  81.52123, -86.10479,-120.81440,  78.79041, -86.47017,-120.60011,  77.16307, -85.75355,-101.84219, 135.28874, -51.86263,-100.34434, 134.46503, -38.47633, -89.95678, 109.52148, -34.94353, -76.88420,  87.68965, -26.69484, -79.00339,  85.40322, -26.29067, -81.04916,  82.27320, -25.68507, -81.94401,  79.80935, -25.92192, -78.77543,  84.98662, -24.56704, -79.40497,  80.54822, -21.44232, -79.65679,  76.92682, -20.61606, -79.57151,  74.82529, -20.79670, -77.56158,  85.13928, -24.23922, -77.51898,  80.89332, -21.01347, -76.77430,  76.97928, -20.22252, -76.08770,  74.72564, -21.19043, -76.69251,  85.36361, -24.07535, -75.91773,  81.76293, -21.00896, -74.75509,  78.51098, -20.23135, -73.89490,  76.34640, -21.01336, -75.62727,  85.72592, -24.06922, -74.27988,  82.65598, -21.21291, -72.96135,  80.26723, -20.44312, -72.20752,  78.78102, -21.09933
   0.11667, -87.71629,  86.29425, -58.39320, -89.41486,  86.28898, -67.86714, -88.09068,  48.50622, -88.60464, -66.65092,  11.46966, -93.89277, -86.01773,  86.29952, -48.91927, -90.81304,  45.63111, -35.41296, -82.57938,   7.97289, -54.73650, -90.08739,  93.98923, -57.97237, -95.64617, 110.91264, -56.77747, -99.78140, 122.83528, -55.64634,-106.14708, 140.60630, -53.44199,-107.30990, 145.29504, -52.90987,-107.91395, 150.08676, -52.36752,-104.92883, 135.31265, -56.89940,-107.17420, 135.95885, -70.19059,-106.55106, 110.36876, -79.53517,-119.52723,  86.99095, -80.34725,-122.08703,  86.33138, -78.64594,-125.08746,  84.93458, -76.80329,-126.53292,  83.44288, -75.18684,-123.24543,  85.81201, -79.90483,-127.55212,  82.46100, -80.19250,-129.77520,  79.62376, -79.26047,-130.48831,  77.86233, -78.34116,-122.63185,  85.22887, -80.84698,-126.50074,  81.64537, -81.63794,-128.19712,  77.99627, -81.08457,-128.08155,  75.78612, -79.82398,-122.09782,  84.90732, -81.51323,-125.13033,  81.43402, -82.82012,-126.27633,  78.08572, -82.73560,-126.13555,  75.84327, -81.74139,-121.27922,  84.58995, -82.21694,-123.59080,  81.22652, -83.87296,-124.27020,  78.49408, -84.20374,-123.99292,  76.86374, -83.51615,-103.50741, 135.12980, -51.32053,-100.88424, 134.27325, -38.11068, -91.37039, 108.95114, -34.81824, -79.21683,  86.32923, -27.32807, -81.40303,  84.10335, -26.94328, -83.54000,  81.02565, -26.38643, -84.52499,  78.60258, -26.67960, -81.14688,  83.62227, -25.24052, -81.85157,  79.10623, -22.24579, -82.20771,  75.46991, -21.53090, -82.19956,  73.37387, -21.78160, -79.92073,  83.72295, -24.93952, -79.94472,  79.37314, -21.85506, -79.31624,  75.41211, -21.21076, -78.73211,  73.17001, -22.26858, -79.04063,  83.91230, -24.79108, -78.31479,  80.18766, -21.86394, -77.24619,  76.87434, -21.22239, -76.48092,  74.70919, -22.09608, -77.96369,  84.23810, -24.80086, -76.65264,  81.03130, -22.08129, -75.39869,  78.57521, -21.42367, -74.71314,  77.08708, -22.14696
   0.13334, -89.82908,  86.24393, -58.61149, -92.28162,  86.17450, -67.91852, -93.02236,  48.16047, -88.25861, -71.02600,  11.65923, -94.82775, -87.37654,  86.31335, -49.30445, -91.29648,  45.41996, -36.20108, -82.90445,   7.89415, -55.71318, -92.19124,  93.93241, -58.04638, -97.68351, 110.84683, -56.47564,-101.72686, 122.76643, -55.02538,-107.88308, 140.53196, -52.25465,-108.99187, 145.22007, -51.61290,-109.53791, 150.01152, -51.01006,-106.94582, 135.25179, -55.81861,-110.17962, 135.92951, -68.90289,-109.94262, 110.33644, -78.25711,-122.60998,  86.77624, -78.12529,-125.02168,  86.07763, -76.23381,-127.85516,  84.63649, -74.17385,-129.15565,  83.11693, -72.46297,-126.27141,  85.55891, -77.40238,-130.55860,  82.17082, -77.38192,-132.67682,  79.30478, -76.30503,-133.30003,  77.52858, -75.34948,-125.72921,  84.99001, -78.39563,-129.61775,  81.37804, -78.91367,-131.23391,  77.70852, -78.26369,-131.00027,  75.48826, -77.03770,-125.24674,  84.67944, -79.10503,-128.34324,  81.19009, -80.20228,-129.45035,  77.83067, -80.06017,-129.21235,  75.58075, -79.10202,-124.48360,  84.37605, -79.87418,-126.88996,  81.00639, -81.37528,-127.57001,  78.27085, -81.67798,-127.22538,  76.63702, -81.03029,-105.08936, 135.04531, -50.36989,-101.46237, 134.15815, -37.40174, -92.94351, 108.46055, -34.29942, -81.87559,  85.09534, -27.43424, -84.15619,  82.96151, -27.07691, -86.42441,  79.96788, -26.58466, -87.53430,  77.60926, -26.94864, -83.87630,  82.39604, -25.40409, -84.71651,  77.79409, -22.57996, -85.22956,  74.15147, -22.00654, -85.33073,  72.07013, -22.34433, -82.63876,  82.42524, -25.13610, -82.78873,  77.95293, -22.23586, -82.33654,  73.94246, -21.77600, -81.89235,  71.72265, -22.94320, -81.74666,  82.56595, -25.00638, -81.12187,  78.68862, -22.25978, -80.19873,  75.30369, -21.78893, -79.56478,  73.14414, -22.77448, -80.65580,  82.84026, -25.03492, -79.42727,  79.46078, -22.49164, -78.27677,  76.92182, -21.97465, -77.68517,  75.43522, -22.77945
   0.15000, -91.92003,  86.34993, -58.59677, -94.98196,  86.23097, -67.72097, -98.06036,  47.97364, -87.37381, -75.66717,  11.98773, -95.30438, -88.85810,  86.46889, -49.47257, -91.90474,  45.38943, -36.72384, -83.55545,   8.02821, -56.56730, -94.25008,  94.03876, -57.91508, -99.65788, 110.94899, -56.03638,-103.62012, 122.86089, -54.32285,-109.60863, 140.60509, -51.08694,-110.67391, 145.29016, -50.35558,-111.17431, 150.08061, -49.70691,-108.90648, 135.33672, -54.72172,-113.20390, 136.05067, -67.49425,-113.32750, 110.46819, -76.87956,-125.57897,  86.70702, -75.94645,-127.81271,  85.94756, -73.86902,-130.44230,  84.43721, -71.59899,-131.57287,  82.87588, -69.80692,-129.14935,  85.42587, -74.93565,-133.37269,  81.97441, -74.60353,-135.35304,  79.06313, -73.39381,-135.86901,  77.26533, -72.41504,-128.68512,  84.87834, -75.97915,-132.55363,  81.21612, -76.22035,-134.05876,  77.51466, -75.48988,-133.69213,  75.28203, -74.32019,-128.26001,  84.58443, -76.73106,-131.38992,  81.06428, -77.61425,-132.43496,  77.68717, -77.42814,-132.08616,  75.42851, -76.52611,-127.56039,  84.30267, -77.56603,-130.03840,  80.91781, -78.90793,-130.70401,  78.17673, -79.19192,-130.28361,  76.53974, -78.59926,-106.68144, 135.11958, -49.41328,-102.11078, 134.21319, -36.74826, -94.46256, 108.22811, -33.77463, -84.80686,  84.08534, -27.49317, -87.18538,  82.05661, -27.16308, -89.59274,  79.16357, -26.73426, -90.83211,  76.88206, -27.16564, -86.89358,  81.40652, -25.52337, -87.90055,  76.73636, -22.87097, -88.58726,  73.10324, -22.43555, -88.80455,  71.04610, -22.85658, -85.64989,  81.36140, -25.28801, -85.95915,  76.78231, -22.57291, -85.70411,  72.73805, -22.29233, -85.40479,  70.55061, -23.56226, -84.74874,  81.45097, -25.17678, -84.25751,  77.43283, -22.61141, -83.49961,  73.98837, -22.30664, -83.00320,  71.84365, -23.39778, -83.64618,  81.67056, -25.22344, -82.53147,  78.12725, -22.85683, -81.50159,  75.51338, -22.47702, -81.00807,  74.03453, -23.35856
