time,Hips.x,Hips.y,Hips.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightLeg.x,RightLeg.y,RightLeg.z,RightFoot.x,RightFoot.y,RightFoot.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Spine2.x,Spine2.y,Spine2.z,Neck.x,Neck.y,Neck.z,Neck1.x,Neck1.y,Neck1.z,Head.x,Head.y,Head.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightHand.x,RightHand.y,RightHand.z,RightHandThumb1.x,RightHandThumb1.y,RightHandThumb1.z,RightHandThumb2.x,RightHandThumb2.y,RightHandThumb2.z,RightHandThumb3.x,RightHandThumb3.y,RightHandThumb3.z,RightInHandIndex.x,RightInHandIndex.y,RightInHandIndex.z,RightHandIndex1.x,RightHandIndex1.y,RightHandIndex1.z,RightHandIndex2.x,RightHandIndex2.y,RightHandIndex2.z,RightHandIndex3.x,RightHandIndex3.y,RightHandIndex3.z,RightInHandMiddle.x,RightInHandMiddle.y,RightInHandMiddle.z,RightHandMiddle1.x,RightHandMiddle1.y,RightHandMiddle1.z,RightHandMiddle2.x,RightHandMiddle2.y,RightHandMiddle2.z,RightHandMiddle3.x,RightHandMiddle3.y,RightHandMiddle3.z,RightInHandRing.x,RightInHandRing.y,RightInHandRing.z,RightHandRing1.x,RightHandRing1.y,RightHandRing1.z,RightHandRing2.x,RightHandRing2.y,RightHandRing2.z,RightHandRing3.x,RightHandRing3.y,RightHandRing3.z,RightInHandPinky.x,RightInHandPinky.y,RightInHandPinky.z,RightHandPinky1.x,RightHandPinky1.y,RightHandPinky1.z,RightHandPinky2.x,RightHandPinky2.y,RightHandPinky2.z,RightHandPinky3.x,RightHandPinky3.y,RightHandPinky3.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftHand.x,LeftHand.y,LeftHand.z,LeftHandThumb1.x,LeftHandThumb1.y,LeftHandThumb1.z,LeftHandThumb2.x,LeftHandThumb2.y,LeftHandThumb2.z,LeftHandThumb3.x,LeftHandThumb3.y,LeftHandThumb3.z,LeftInHandIndex.x,LeftInHandIndex.y,LeftInHandIndex.z,LeftHandIndex1.x,LeftHandIndex1.y,LeftHandIndex1.z,LeftHandIndex2.x,LeftHandIndex2.y,LeftHandIndex2.z,LeftHandIndex3.x,LeftHandIndex3.y,LeftHandIndex3.z,LeftInHandMiddle.x,LeftInHandMiddle.y,LeftInHandMiddle.z,LeftHandMiddle1.x,LeftHandMiddle1.y,LeftHandMiddle1.z,LeftHandMiddle2.x,LeftHandMiddle2.y,LeftHandMiddle2.z,LeftHandMiddle3.x,LeftHandMiddle3.y,LeftHandMiddle3.z,LeftInHandRing.x,LeftInHandRing.y,LeftInHandRing.z,LeftHandRing1.x,LeftHandRing1.y,LeftHandRing1.z,LeftHandRing2.x,LeftHandRing2.y,LeftHandRing2.z,LeftHandRing3.x,LeftHandRing3.y,LeftHandRing3.z,LeftInHandPinky.x,LeftInHandPinky.y,LeftInHandPinky.z,LeftHandPinky1.x,LeftHandPinky1.y,LeftHandPinky1.z,LeftHandPinky2.x,LeftHandPinky2.y,LeftHandPinky2.z,LeftHandPinky3.x,LeftHandPinky3.y,LeftHandPinky3.z
   0.00000,   0.00000,  94.09000,   0.00000,  -9.62500,  94.09000,   0.00000,  -9.62500,  50.97000,   0.00000,  -9.62500,   7.85000,   0.00000,   9.62500,  94.09000,   0.00000,   9.62500,  50.97000,   0.00000,   9.62500,   7.85000,   0.00000,   0.00000, 102.15300,   0.00000,   0.00000, 120.00600,   0.00000,   0.00000, 132.67600,   0.00000,   0.00000, 151.68100,   0.00000,   0.00000, 156.54100,   0.00000,   0.00000, 161.40100,   0.00000,  -2.88000, 145.92200,   0.00000, -16.37500, 145.92200,   0.00000, -43.62500, 145.92200,   0.00000, -70.37500, 145.92200,   0.00000, -72.27000, 145.44800,   2.46300, -74.16400, 142.76948,   4.35700, -75.48000, 140.90837,   5.67300, -73.69100, 146.44500,   2.03500, -79.05700, 146.35100,   3.06300, -82.78000, 146.35100,   3.06300, -84.89100, 146.35100,   3.06300, -73.85400, 146.45400,   0.77900, -79.17600, 146.36800,   1.10200, -83.23800, 146.36800,   1.10200, -85.78500, 146.36800,   1.10200, -73.83700, 146.47500,  -0.13300, -78.60400, 146.45200,  -0.62600, -82.14400, 146.45200,  -0.62600, -84.60100, 146.45200,  -0.62600, -73.62600, 146.40500,  -1.23600, -77.88500, 146.38200,  -2.35800, -80.72000, 146.38200,  -2.35800, -82.51100, 146.38200,  -2.35800,   2.88000, 145.92200,   0.00000,  16.37500, 145.92200,   0.00000,  43.62500, 145.92200,   0.00000,  70.37500, 145.92200,   0.00000,  72.27000, 145.44800,   2.46300,  74.16400, 142.76948,   4.35700,  75.48000, 140.90837,   5.67300,  73.69100, 146.44500,   2.03500,  79.05700, 146.35100,   3.06300,  82.78000, 146.35100,   3.06300,  84.89100, 146.35100,   3.06300,  73.85400, 146.45400,   0.77900,  79.17600, 146.36800,   1.10200,  83.23800, 146.36800,   1.10200,  85.78500, 146.36800,   1.10200,  73.83700, 146.47500,  -0.13300,  78.60400, 146.45200,  -0.62600,  82.14400, 146.45200,  -0.62600,  84.60100, 146.45200,  -0.62600,  73.62600, 146.40500,  -1.23600,  77.88500, 146.38200,  -2.35800,  80.72000, 146.38200,  -2.35800,  82.51100, 146.38200,  -2.35800
   0.01667,  73.54582,  81.39852, -37.63470,  69.08340,  79.92892, -46.03516,  79.75091,  39.73132, -34.64693,  91.60732,  12.59146, -65.98680,  78.00824,  82.86812, -29.23424,  66.29975,  49.68157,  -4.31640,  67.83522,   8.47895, -16.93862,  70.70731,  88.94302, -37.44671,  64.38305, 105.58145, -36.06973,  60.09694, 117.33897, -34.09011,  54.31254, 134.80742, -29.33786,  53.29664, 139.47240, -28.42930,  52.92312, 144.26691, -27.72729,  54.21196, 129.50000, -32.98225,  44.03188, 134.08952, -40.55966,  44.99621, 111.30391, -55.47437,  39.68494,  85.39005, -59.45239,  38.02329,  84.39200, -56.97754,  36.28195,  82.61598, -54.12054,  35.91997,  81.20347, -51.92937,  36.90576,  83.21703, -57.73055,  34.27302,  78.68853, -56.17461,  33.58013,  75.62212, -54.18018,  33.82322,  74.02409, -52.82241,  37.47061,  82.64460, -58.70905,  35.20778,  77.91812, -57.72144,  35.21505,  74.18803, -56.11327,  36.44900,  72.54061, -54.61308,  37.92481,  82.35511, -59.44550,  36.25429,  77.86927, -59.21229,  36.53478,  74.47179, -58.25830,  37.74458,  72.73464, -57.01109,  38.62402,  82.15277, -60.30352,  37.47955,  77.91247, -60.63305,  37.84886,  75.12055, -60.30747,  38.87732,  73.90566, -59.48650,  57.91877, 129.52808, -28.57358,  68.44831, 133.89515, -21.35053,  83.73358, 111.33738, -21.61553,  95.17870,  88.27731, -14.34884,  94.60299,  85.47627, -13.04315,  94.12301,  81.85933, -12.02515,  93.28875,  79.36322, -12.05422,  96.23997,  84.76225, -12.96008,  98.38361,  79.73644, -13.03533,  98.58671,  76.09053, -13.76116,  98.15204,  74.18414, -14.55680,  96.93749,  85.15748, -13.94061,  99.40635,  80.46963, -14.54410,  99.83728,  76.82443, -16.28383,  98.82111,  75.11234, -17.87233,  97.38597,  85.56408, -14.62326, 100.01516,  81.71279, -15.72907, 100.65137,  78.80310, -17.64231,  99.87535,  77.17952, -19.31523,  97.76409,  86.18777, -15.48004, 100.44170,  83.03425, -16.99140, 101.23686,  80.97708, -18.77269, 100.64094,  79.93270, -20.10003
   0.03333,  73.91514,  81.17048, -35.65810,  69.55435,  79.60669, -44.09485,  82.00136,  39.90912, -32.75869,  94.49399,  12.84941, -63.92022,  78.27593,  82.73426, -27.22136,  65.94721,  49.13763,  -3.16719,  68.46800,   8.46903, -17.27554,  70.83989,  88.62107, -35.44957,  64.20882, 105.13805, -34.05392,  59.87933, 116.87435, -32.04303,  54.26636, 134.35485, -27.13212,  53.27415, 139.01873, -26.19229,  52.90898, 143.80965, -25.46201,  54.09857, 129.07343, -30.81166,  43.89543, 133.74787, -38.30569,  44.65058, 111.09711, -53.43631,  39.12650,  85.26381, -57.64195,  37.50571,  84.21758, -55.15992,  35.81900,  82.38818, -52.30383,  35.49939,  80.94654, -50.12508,  36.39370,  83.03781, -55.91357,  33.83363,  78.46032, -54.37989,  33.20069,  75.36322, -52.41313,  33.47864,  73.75290, -51.07674,  36.95400,  82.48345, -56.90500,  34.75957,  77.71895, -55.94609,  34.83018,  73.97116, -54.38121,  36.10108,  72.32183, -52.91432,  37.40307,  82.20789, -57.64990,  35.78925,  77.69976, -57.44930,  36.12147,  74.29530, -56.53779,  37.36637,  72.55884, -55.32462,  38.09467,  82.02381, -58.51814,  36.99736,  77.77399, -58.88339,  37.40385,  74.98322, -58.59426,  38.45624,  73.77161, -57.79917,  57.83590, 129.04219, -26.42884,  68.38649, 133.29426, -19.16799,  83.90997, 110.89836, -19.07970,  95.87140,  88.15744, -11.64079,  95.41144,  85.32881, -10.34875,  95.07247,  81.69019,  -9.35151,  94.32684,  79.16629,  -9.38873,  97.07358,  84.67279, -10.29075,  99.39275,  79.72689, -10.42877,  99.71584,  76.09557, -11.18367,  99.33915,  74.18047, -11.98792,  97.74449,  85.09928, -11.27675, 100.37015,  80.50630, -11.94442, 100.90833,  76.89076, -13.71587,  99.93385,  75.15465, -15.30443,  98.16980,  85.52624, -11.96179, 100.91985,  81.77841, -13.12754, 101.63498,  78.90638, -15.06961, 100.89630,  77.26784, -16.74483,  98.51497,  86.16884, -12.81850, 101.28367,  83.12284, -14.38525, 102.12909,  81.10751, -16.19106, 101.55414,  80.05179, -17.51868
   0.05000,  73.78189,  80.99543, -33.57553,  69.40877,  79.32323, -41.98506,  83.46645,  40.04757, -31.07002,  96.72012,  12.92327, -61.85877,  78.15501,  82.66763, -25.16600,  65.66725,  48.58939,  -1.88374,  69.35913,   8.60040, -17.58677,  70.51322,  88.36242, -33.34065,  63.65652, 104.78371, -31.90649,  59.33535, 116.51528, -29.85062,  53.97613, 134.02779, -24.77316,  53.01529, 138.69173, -23.80154,  52.65326, 143.47882, -23.04504,  53.70312, 128.76866, -28.47823,  43.47949, 133.52936, -35.88958,  44.01158, 110.97478, -51.17259,  38.22180,  85.24534, -55.64885,  36.65082,  84.12986, -53.16494,  35.03036,  82.22354, -50.32082,  34.76176,  80.73737, -48.16523,  35.54550,  82.94808, -53.92529,  33.07296,  78.30611, -52.44265,  32.51194,  75.16429, -50.52564,  32.83150,  73.53378, -49.22346,  36.09988,  82.42038, -54.93444,  33.98762,  77.60742, -54.03489,  34.13377,  73.83278, -52.54137,  35.44846,  72.17539, -51.12298,  36.54248,  82.16522, -55.69040,  34.99650,  77.63106, -55.55206,  35.39020,  74.21555, -54.70891,  36.67664,  72.47536, -53.54543,  37.22453,  82.00735, -56.57126,  36.18340,  77.74941, -57.00084,  36.63389,  74.96002, -56.76943,  37.71451,  73.74944, -56.01151,  57.49709, 128.67344, -24.14530,  68.07808, 132.78728, -16.84913,  83.77113, 110.51400, -16.41103,  96.12075,  88.03770,  -8.80411,  95.77811,  85.19472,  -7.50713,  95.58028,  81.54647,  -6.50710,  94.92239,  78.99817,  -6.53496,  97.46272,  84.59690,  -7.47346,  99.95023,  79.73464,  -7.64760, 100.38846,  76.11679,  -8.40907, 100.06702,  74.18979,  -9.20886,  98.10409,  85.04651,  -8.46878, 100.87797,  80.54764,  -9.17675, 101.51593,  76.95308, -10.95776, 100.57959,  75.18421, -12.53306,  98.50438,  85.48803,  -9.15966, 101.36597,  81.83816, -10.36698, 102.15245,  78.99282, -12.32072, 101.44710,  77.32966, -13.98603,  98.81460,  86.14229, -10.02090, 101.66465,  83.19449, -11.62906, 102.55349,  81.20986, -13.44797, 101.99652,  80.13485, -14.76775
   0.06667,  73.10728,  80.89623, -31.43422,  68.62818,  79.11468, -39.76515,  84.47019,  40.21731, -29.99992,  98.78644,  12.73423, -59.98424,  77.58638,  82.67779, -23.10329,  65.48718,  48.02088,  -0.47935,  70.22032,   8.69716, -17.52565,  69.68155,  88.18984, -31.15211,  62.68477, 104.54458, -29.63636,  58.44381, 116.29272, -27.50934,  53.47257, 133.86115, -22.23420,  52.56071, 138.52723, -21.22634,  52.20475, 143.31080, -20.44503,  53.03530, 128.62505, -25.95610,  42.79290, 133.46368, -33.29068,  43.07963, 110.97028, -48.67011,  36.96309,  85.37753, -53.48278,  35.44164,  84.18432, -51.00417,  33.88702,  82.19188, -48.18241,  33.66874,  80.65471, -46.05712,  34.34366,  83.00331, -51.77624,  31.95889,  78.29355, -50.36535,  31.46918,  75.10223, -48.51160,  31.82972,  73.44833, -47.25028,  34.89222,  82.50629, -52.80398,  32.86241,  77.64382, -51.98445,  33.08333,  73.83975, -50.57729,  34.44074,  72.17119, -49.21328,  35.32841,  82.27447, -53.57109,  33.85060,  77.71589, -53.51366,  34.30517,  74.28885, -52.75187,  35.63215,  72.54272, -51.64415,  36.00093,  82.14621, -54.46401,  35.01631,  77.88379, -54.97469,  35.51042,  75.09697, -54.81125,  36.61852,  73.88616, -54.09451,  56.92267, 128.44989, -21.70931,  67.55138, 132.39086, -14.38713,  83.37214, 110.21939, -13.55516,  96.02816,  87.97270,  -5.77876,  95.79533,  85.12021,  -4.47831,  95.72838,  81.46747,  -3.47734,  95.15141,  78.89956,  -3.49673,  97.49839,  84.57619,  -4.47004, 100.13618,  79.79540,  -4.68374, 100.67768,  76.19333,  -5.45354, 100.40571,  74.25713,  -6.24946,  98.11026,  85.04599,  -5.47457, 101.01474,  80.63752,  -6.22612, 101.73992,  77.06513,  -8.01830, 100.83685,  75.26748,  -9.58040,  98.48599,  85.50003,  -6.17110, 101.44373,  81.94295,  -7.42280, 102.29096,  79.12412,  -9.38953, 101.61405,  77.43947, -11.04501,  98.76241,  86.16385,  -7.03652, 101.68035,  83.30814,  -8.68849, 102.60456,  81.35283, -10.52147, 102.06240,  80.26073, -11.83336
   0.08334,  71.86025,  80.82310, -29.28063,  67.21844,  78.95905, -37.50374,  85.15096,  40.51578, -29.76589, 100.80991,  12.41630, -58.48089,  76.50206,  82.68714, -21.05752,  65.17098,  47.32589,   0.86331,  70.94310,   8.69811, -17.40994,  68.35037,  88.07422, -28.94307,  61.33122, 104.40674, -27.29692,  57.23170, 116.18143, -25.04310,  52.72803, 133.78301, -19.46715,  51.87656, 138.44855, -18.40541,  51.53605, 143.22856, -17.59599,  52.08454, 128.58792, -23.21648,  41.83162, 133.50431, -30.48433,  41.85321, 111.07556, -45.96055,  35.42380,  85.62334, -51.09959,  33.91544,  84.35616, -48.64985,  32.38163,  82.28138, -45.87647,  32.17931,  80.69107, -43.78903,  32.82789,  83.18407, -49.44978,  30.48814,  78.41942, -48.15240,  30.02958,  75.17959, -46.37646,  30.40647,  73.49898, -45.15588,  33.38025,  82.71729, -50.48959,  31.39639,  77.81765, -49.78730,  31.65378,  73.98275, -48.47310,  33.02772,  72.29427, -47.15077,  33.81798,  82.50825, -51.26235,  32.38268,  77.93605, -51.31486,  32.86969,  74.49589, -50.63680,  34.21372,  72.73582, -49.57257,  34.49097,  82.40798, -52.15850,  33.54564,  78.15023, -52.77203,  34.06577,  75.36499, -52.67661,  35.18564,  74.14750, -51.99011,  56.10097, 128.31064, -19.09713,  66.79587, 132.02535, -11.75309,  82.73669, 109.96006, -10.49774,  95.69733,  87.95081,  -2.54933,  95.56825,  85.08778,  -1.25764,  95.62628,  81.43112,  -0.27051,  95.12903,  78.84662,  -0.29345,  97.28734,  84.59689,  -1.27119, 100.06944,  79.90112,  -1.53435, 100.71338,  76.32041,  -2.32468, 100.49232,  74.37959,  -3.12511,  97.87260,  85.08909,  -2.28084, 100.90343,  80.77570,  -3.08340, 101.71809,  77.23406,  -4.89804, 100.85305,  75.41490,  -6.45676,  98.22592,  85.55710,  -2.97984, 101.27775,  82.09814,  -4.27976, 102.18899,  79.31412,  -6.26733, 101.54539,  77.61527,  -7.92158,  98.47150,  86.23232,  -3.84575, 101.45714,  83.47459,  -5.54264, 102.42011,  81.55557,  -7.39394, 101.89681,  80.45193,  -8.70382
   0.10000,  70.16027,  80.87794, -27.13454,  65.28167,  78.98173, -35.21193,  85.00096,  41.00326, -29.90917, 101.96087,  12.18519, -57.13444,  75.03887,  82.77416, -19.05715,  64.65951,  46.76315,   2.26912,  71.58302,   8.91803, -17.20257,  66.64676,  88.12292, -26.71324,  59.72323, 104.47533, -24.87119,  55.80176, 116.27861, -22.45591,  51.76495, 133.89630, -16.58130,  50.97458, 138.55914, -15.46197,  50.65294, 143.33479, -14.61975,  50.91667, 128.74719, -20.35324,  40.68742, 133.79265, -27.56579,  40.48402, 111.42032, -43.12214,  33.71683,  86.12112, -48.57359,  32.20114,  84.77201, -46.17262,  30.66420,  82.60613, -43.47156,  30.45970,  80.95479, -41.43227,  31.12894,  83.61490, -47.01401,  28.81859,  78.79651, -45.87165,  28.37351,  75.50334, -44.19306,  28.75518,  73.79129, -43.01853,  31.69257,  83.18265, -48.06266,  29.74350,  78.24928, -47.51636,  30.02248,  74.38026, -46.31108,  31.40048,  72.66530, -45.02763,  32.13756,  82.99942, -48.83783,  30.73981,  78.41943, -49.03248,  31.24980,  74.96513, -48.45000,  32.60033,  73.18580, -47.42682,  32.81779,  82.93034, -49.73144,  31.91150,  78.68470, -50.47417,  32.45350,  75.90205, -50.45500,  33.57822,  74.67418, -49.79545,  55.05975, 128.36819, -16.36967,  65.82719, 131.85303,  -9.01895,  81.85164, 109.87177,  -7.40530,  95.03761,  88.05039,   0.68916,  94.97808,  85.17449,   1.95711,  95.12182,  81.51188,   2.91294,  94.68193,  78.91725,   2.87032,  96.70756,  84.72205,   1.93174,  99.59191,  80.09165,   1.61640, 100.31146,  76.53288,   0.79290, 100.12981,  74.59440,  -0.02295,  97.27706,  85.23558,   0.92370, 100.39909,  80.99749,   0.07112, 101.28370,  77.49014,  -1.77708, 100.45201,  75.66533,  -3.34728,  97.61666,  85.71716,   0.22711, 100.73841,  82.33789,  -1.11564, 101.70197,  79.59155,  -3.13078, 101.08854,  77.89272,  -4.79648,  97.84318,  86.40490,  -0.63413, 100.88135,  83.72851,  -2.36761, 101.87806,  81.84694,  -4.23937, 101.37330,  80.74294,  -5.55621
   0.11667,  68.18117,  81.00910, -25.02874,  63.01138,  79.12293, -32.92533,  84.02554,  41.53673, -30.68543, 102.26789,  11.93799, -56.18965,  73.35097,  82.89528, -17.13215,  64.09633,  46.23076,   3.58981,  71.97651,   9.06285, -16.80095,  64.69503,  88.25862, -24.47802,  57.90653, 104.63310, -22.35144,  54.16554, 116.45149, -19.73237,  50.56594, 134.05834, -13.54919,  49.83472, 138.71450, -12.36382,  49.53615, 143.48327, -11.47541,  49.52622, 128.96277, -17.34585,  39.35738, 134.15995, -24.53605,  38.88905, 111.87421, -40.21051,  31.66681,  86.76328, -45.94140,  30.12954,  85.34186, -43.59654,  28.57167,  83.09568, -40.97419,  28.35138,  81.38837, -38.98321,  29.07348,  84.20293, -44.48199,  26.77464,  79.34403, -43.49919,  26.32659,  76.00418, -41.91634,  26.70307,  74.26260, -40.78431,  29.65183,  83.80218, -45.53513,  27.72195,  78.84636, -45.14688,  28.00655,  74.94730, -44.04405,  29.37798,  73.20468, -42.79119,  30.10700,  83.64233, -46.30956,  28.73542,  79.06262, -46.64566,  29.25630,  75.59623, -46.15127,  30.60370,  73.79623, -45.16064,  30.79821,  83.60094, -47.19644,  29.92286,  79.37279, -48.06533,  30.47900,  76.59332, -48.11534,  31.60211,  75.35339, -47.47591,  53.78719, 128.48325, -13.49984,  64.62619, 131.72537,  -6.14322,  80.73009, 109.82714,  -4.22112,  94.10436,  88.17081,   4.00658,  94.08097,  85.27582,   5.23154,  94.27513,  81.60208,   6.13426,  93.87587,  79.00190,   6.05033,  95.81740,  84.85055,   5.21154,  98.77536,  80.27038,   4.84804,  99.55560,  76.73575,   3.97719,  99.40956,  74.80703,   3.13161,  96.38562,  85.38771,   4.21516,  99.57875,  81.21141,   3.32194, 100.53012,  77.74596,   1.42843,  99.73745,  75.93204,  -0.17425,  96.72238,  85.88476,   3.52814,  99.90519,  82.57436,   2.15745, 100.92481,  79.87343,   0.10880, 100.34906,  78.19027,  -1.58599,  96.94399,  86.58862,   2.67872, 100.03494,  83.98546,   0.92715, 101.07332,  82.14748,  -0.96517, 100.59463,  81.05550,  -2.30162
   0.13334,  66.11736,  81.18051, -23.00794,  60.68702,  79.34377, -30.73959,  82.68305,  42.26094, -31.35010, 102.04434,  12.17498, -55.41895,  71.54771,  83.01725, -15.27630,  63.55852,  45.71555,   4.82571,  72.19859,   9.13350, -16.30334,  62.69048,  88.44723, -22.32736,  56.07410, 104.85008, -19.89843,  52.51291, 116.67182, -17.05353,  49.31183, 134.23194, -10.52781,  48.63953, 138.87716,  -9.26704,  48.37510, 143.63726,  -8.32304,  48.09920, 129.20268, -14.36141,  38.04304, 134.59796, -21.56416,  37.14959, 112.42642, -37.38146,  29.44634,  87.50589, -43.31356,  27.88186,  86.00972, -41.03409,  26.29741,  83.68112, -38.50110,  26.05681,  81.91647, -36.56318,  26.84615,  84.89083, -41.96780,  24.56118,  79.99340, -41.15931,  24.10867,  76.60732, -39.67930,  24.47807,  74.83619, -38.59166,  27.44284,  84.52348, -43.02288,  25.53642,  79.54816, -42.80570,  25.82707,  75.62080, -41.81010,  27.18945,  73.85059, -40.58638,  27.91069,  84.38828, -43.79444,  26.57134,  79.81265, -44.28192,  27.10498,  76.33644, -43.87847,  28.44767,  74.51624, -42.91885,  28.61558,  84.37601, -44.67137,  27.77845,  80.16970, -45.67371,  28.35162,  77.39586, -45.79427,  29.47211,  76.14430, -45.17317,  52.46448, 128.61888, -10.64913,  63.35513, 131.59613,  -3.25691,  79.54052, 109.78613,  -1.03900,  93.08726,  88.29524,   7.33895,  93.07463,  85.37428,   8.50080,  93.29445,  81.68421,   9.32788,  92.92688,  79.08217,   9.18064,  94.81593,  84.96891,   8.50424,  97.83280,  80.43096,   8.09799,  98.66980,  76.92498,   7.16621,  98.56172,  75.01354,   6.27680,  95.39625,  85.53387,   7.53046,  98.65338,  81.41377,   6.60779,  99.67961,  78.00103,   4.65846,  98.93773,  76.21358,   3.00260,  95.73991,  86.04943,   6.86071,  98.98557,  82.80521,   5.47917, 100.07406,  80.16089,   3.39246,  99.54925,  78.50857,   1.65141,  95.96906,  86.77397,   6.03091,  99.12177,  84.24402,   4.28211, 100.21615,  82.45922,   2.37056,  99.77492,  81.39121,   1.00222
   0.15000,  64.11756,  81.34868, -21.11384,  58.49401,  79.61055, -28.72930,  80.80454,  42.86332, -32.07839, 100.83215,  12.57449, -55.33384,  69.74111,  83.08681, -13.49838,  62.88097,  45.28339,   6.07646,  72.19303,   9.23881, -15.68147,  60.76450,  88.63623, -20.30110,  54.30940, 105.05394, -17.55880,  50.87734, 116.85569, -14.48171,  47.92361, 134.33061,  -7.61929,  47.29211, 138.95949,  -6.27978,  47.06107, 143.70703,  -5.26634,  46.60124, 129.37007, -11.50579,  36.64112, 134.91745, -18.72644,  35.25367, 112.86179, -34.66963,  26.89071,  88.18555, -40.72823,  25.29084,  86.61276, -38.52622,  23.66750,  84.19941, -36.09940,  23.39701,  82.37004, -34.22653,  24.27102,  85.52602, -39.51384,  21.97671,  80.60367, -38.90864,  21.50281,  77.16930, -37.55172,  21.85590,  75.36238, -36.51892,  24.88483,  85.19472, -40.57104,  22.97858,  80.21463, -40.55329,  23.25589,  76.25582, -39.68682,  24.59964,  74.44533, -38.50205,  25.36511,  85.08582, -41.33912,  24.03690,  80.52916, -42.00286,  24.56636,  77.04135, -41.70894,  25.89471,  75.18984, -40.79009,  26.08401,  85.10338, -42.20452,  25.26596,  80.93335, -43.36217,  25.84289,  78.16528, -43.56744,  26.95411,  76.89353, -42.97118,  51.03610, 128.70045,  -7.89177,  61.94037, 131.44522,  -0.42999,  78.17579, 109.69435,   1.99353,  91.84452,  88.32907,  10.49370,  91.81628,  85.38217,  11.58780,  92.03341,  81.67516,  12.33603,  91.68366,  79.07549,  12.11961,  93.55898,  84.98498,  11.62874,  96.60958,  80.47170,  11.20014,  97.48971,  76.99198,  10.21137,  97.41555,  75.10099,   9.27597,  94.16214,  85.57485,  10.68405,  97.46450,  81.49229,   9.75533,  98.56050,  78.13004,   7.75685,  97.87262,  76.37764,   6.04130,  94.52085,  86.10725,  10.03570,  97.81938,  82.91082,   8.66811,  98.97723,  80.32022,   6.55155,  98.50790,  78.70589,   4.75976,  94.76827,  86.85172,   9.22912,  97.97993,  84.37736,   7.50829,  99.13444,  82.64205,   5.58657,  98.73561,  81.60370,   4.18284
