time,Hips.x,Hips.y,Hips.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightLeg.x,RightLeg.y,RightLeg.z,RightFoot.x,RightFoot.y,RightFoot.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Spine2.x,Spine2.y,Spine2.z,Neck.x,Neck.y,Neck.z,Neck1.x,Neck1.y,Neck1.z,Head.x,Head.y,Head.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightHand.x,RightHand.y,RightHand.z,RightHandThumb1.x,RightHandThumb1.y,RightHandThumb1.z,RightHandThumb2.x,RightHandThumb2.y,RightHandThumb2.z,RightHandThumb3.x,RightHandThumb3.y,RightHandThumb3.z,RightInHandIndex.x,RightInHandIndex.y,RightInHandIndex.z,RightHandIndex1.x,RightHandIndex1.y,RightHandIndex1.z,RightHandIndex2.x,RightHandIndex2.y,RightHandIndex2.z,RightHandIndex3.x,RightHandIndex3.y,RightHandIndex3.z,RightInHandMiddle.x,RightInHandMiddle.y,RightInHandMiddle.z,RightHandMiddle1.x,RightHandMiddle1.y,RightHandMiddle1.z,RightHandMiddle2.x,RightHandMiddle2.y,RightHandMiddle2.z,RightHandMiddle3.x,RightHandMiddle3.y,RightHandMiddle3.z,RightInHandRing.x,RightInHandRing.y,RightInHandRing.z,RightHandRing1.x,RightHandRing1.y,RightHandRing1.z,RightHandRing2.x,RightHandRing2.y,RightHandRing2.z,RightHandRing3.x,RightHandRing3.y,RightHandRing3.z,RightInHandPinky.x,RightInHandPinky.y,RightInHandPinky.z,RightHandPinky1.x,RightHandPinky1.y,RightHandPinky1.z,RightHandPinky2.x,RightHandPinky2.y,RightHandPinky2.z,RightHandPinky3.x,RightHandPinky3.y,RightHandPinky3.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftHand.x,LeftHand.y,LeftHand.z,LeftHandThumb1.x,LeftHandThumb1.y,LeftHandThumb1.z,LeftHandThumb2.x,LeftHandThumb2.y,LeftHandThumb2.z,LeftHandThumb3.x,LeftHandThumb3.y,LeftHandThumb3.z,LeftInHandIndex.x,LeftInHandIndex.y,LeftInHandIndex.z,LeftHandIndex1.x,LeftHandIndex1.y,LeftHandIndex1.z,LeftHandIndex2.x,LeftHandIndex2.y,LeftHandIndex2.z,LeftHandIndex3.x,LeftHandIndex3.y,LeftHandIndex3.z,LeftInHandMiddle.x,LeftInHandMiddle.y,LeftInHandMiddle.z,LeftHandMiddle1.x,LeftHandMiddle1.y,LeftHandMiddle1.z,LeftHandMiddle2.x,LeftHandMiddle2.y,LeftHandMiddle2.z,LeftHandMiddle3.x,LeftHandMiddle3.y,LeftHandMiddle3.z,LeftInHandRing.x,LeftInHandRing.y,LeftInHandRing.z,LeftHandRing1.x,LeftHandRing1.y,LeftHandRing1.z,LeftHandRing2.x,LeftHandRing2.y,LeftHandRing2.z,LeftHandRing3.x,LeftHandRing3.y,LeftHandRing3.z,LeftInHandPinky.x,LeftInHandPinky.y,LeftInHandPinky.z,LeftHandPinky1.x,LeftHandPinky1.y,LeftHandPinky1.z,LeftHandPinky2.x,LeftHandPinky2.y,LeftHandPinky2.z,LeftHandPinky3.x,LeftHandPinky3.y,LeftHandPinky3.z
   0.00000,   0.00000,  83.64000,   0.00000, -10.50000,  83.64000,   0.00000, -10.50000,  44.24000,   0.00000, -10.50000,   6.92000,   0.00000,  10.50000,  83.64000,   0.00000,  10.50000,  44.24000,   0.00000,  10.50000,   6.92000,   0.00000,   0.00000,  91.18900,   0.00000,   0.00000, 107.90400,   0.00000,   0.00000, 119.76600,   0.00000,   0.00000, 137.56000,   0.00000,   0.00000, 141.70500,   0.00000,   0.00000, 145.85000,   0.00000,  -2.69600, 132.16800,   0.00000, -15.50000, 132.16800,   0.00000, -36.50000, 132.16800,   0.00000, -59.50000, 132.16800,   0.00000, -61.23700, 131.73400,   2.25800, -62.97300, 129.27892,   3.99400, -64.17900, 127.57338,   5.20000, -62.53900, 132.64700,   1.86500, -67.45800, 132.56100,   2.80700, -70.87100, 132.56100,   2.80700, -72.80600, 132.56100,   2.80700, -62.68900, 132.65600,   0.71400, -67.56800, 132.57700,   1.01000, -71.29200, 132.57700,   1.01000, -73.62600, 132.57700,   1.01000, -62.67300, 132.67500,  -0.12200, -67.04300, 132.65400,  -0.57400, -70.28800, 132.65400,  -0.57400, -72.54000, 132.65400,  -0.57400, -62.48000, 132.61100,  -1.13300, -66.38400, 132.59000,  -2.16100, -68.98300, 132.59000,  -2.16100, -70.62500, 132.59000,  -2.16100,   2.69600, 132.16800,   0.00000,  15.50000, 132.16800,   0.00000,  36.50000, 132.16800,   0.00000,  59.50000, 132.16800,   0.00000,  61.23700, 131.73400,   2.25800,  62.97300, 129.27892,   3.99400,  64.17900, 127.57338,   5.20000,  62.53900, 132.64700,   1.86500,  67.45800, 132.56100,   2.80700,  70.87100, 132.56100,   2.80700,  72.80600, 132.56100,   2.80700,  62.68900, 132.65600,   0.71400,  67.56800, 132.57700,   1.01000,  71.29200, 132.57700,   1.01000,  73.62600, 132.57700,   1.01000,  62.67300, 132.67500,  -0.12200,  67.04300, 132.65400,  -0.57400,  70.28800, 132.65400,  -0.57400,  72.54000, 132.65400,  -0.57400,  62.48000, 132.61100,  -1.13300,  66.38400, 132.59000,  -2.16100,  68.98300, 132.59000,  -2.16100,  70.62500, 132.59000,  -2.16100
   0.01667, -72.93575,  79.49909,-115.57910, -63.93986,  81.16818,-110.42760, -43.74432,  48.93699,-120.70625, -55.81222,  17.59533,-104.43207, -81.93165,  77.83001,-120.73061, -86.22171,  42.25442,-137.11149, -92.61091,   9.32125,-120.76013, -71.57211,  85.52739,-119.91355, -68.51877,  99.03094,-129.27959, -66.26226, 108.73256,-135.72115, -62.61439, 123.42251,-145.07663, -61.76465, 126.84444,-147.25593, -60.91490, 130.26637,-149.43523, -61.61646, 119.47404,-140.63188, -52.05818, 119.75796,-132.11712, -49.91885, 107.94054,-114.89006, -44.90460,  94.74642, -96.73041, -42.03721,  94.98531, -96.88893, -38.57400,  94.81250, -96.71262, -36.33096,  93.93665, -96.85183, -41.64161,  95.35619, -95.34323, -37.68575,  94.69168, -92.34308, -34.82059,  93.25583, -91.16929, -33.36891,  92.00050, -90.92232, -42.37466,  94.83843, -94.60707, -38.91289,  93.91013, -91.28248, -36.38597,  91.69478, -89.67777, -35.25404,  89.65666, -89.78899, -42.99237,  94.49858, -94.15712, -40.41925,  93.40227, -90.76909, -38.60260,  91.28165, -89.11597, -37.60630,  89.26421, -89.02200, -43.83696,  94.04618, -93.77573, -41.98823,  92.79616, -90.41149, -40.88278,  91.03972, -88.84699, -40.30313,  89.50385, -88.81102, -65.82310, 118.46818,-143.85152, -75.06320, 116.88014,-152.57167, -76.04499,  98.48468,-162.65350, -57.94985,  87.16620,-171.22424, -55.84286,  88.09696,-169.49265, -53.16958,  88.64788,-167.34676, -51.76277,  88.53351,-165.39086, -54.50167,  87.62698,-170.30723, -49.80612,  86.33081,-169.13972, -47.23611,  85.18161,-167.21021, -46.26585,  84.36950,-165.74622, -54.70652,  86.63775,-170.87893, -50.23747,  84.83825,-170.04953, -47.82311,  82.74918,-168.13254, -47.48703,  81.43622,-166.23235, -54.96427,  85.97585,-171.32048, -51.15979,  83.80471,-170.98320, -49.22806,  81.60325,-169.58605, -48.86147,  80.16227,-167.89469, -55.45970,  85.21027,-171.80204, -52.24767,  82.76464,-171.81490, -50.82584,  80.74226,-171.01290, -50.70324,  79.62433,-169.81650
   0.03333, -71.95390,  79.72844,-115.77504, -63.35463,  81.18728,-109.92915, -42.33483,  49.34472,-119.75665, -56.11937,  16.99929,-107.24500, -80.55316,  78.26960,-121.62093, -85.35305,  42.56258,-137.56865, -93.11583,   9.48335,-122.13213, -70.22239,  85.84390,-119.84818, -66.40563,  99.55194,-128.61819, -63.65534, 109.40326,-134.62607, -59.34272, 124.31890,-143.31808, -58.33812, 127.79341,-145.34283, -57.33352, 131.26792,-147.36758, -58.68890, 120.27440,-138.89580, -49.81108, 120.51882,-129.67262, -48.53443, 108.71199,-112.35301, -43.87951,  95.53052, -94.08882, -41.01476,  95.83217, -94.16831, -37.55482,  95.73585, -93.89568, -35.29010,  94.90932, -93.97074, -40.67046,  96.21410, -92.61306, -36.78579,  95.64149, -89.50295, -33.92350,  94.27087, -88.24704, -32.45205,  93.04816, -87.95717, -41.41212,  95.68150, -91.89637, -38.02445,  94.83482, -88.47506, -35.49506,  92.67812, -86.79607, -34.31604,  90.66522, -86.87141, -42.03448,  95.32886, -91.46298, -39.53298,  94.29477, -88.00252, -37.71684,  92.21723, -86.29503, -36.67950,  90.22235, -86.16906, -42.87921,  94.85860, -91.10415, -41.09761,  93.65486, -87.68723, -39.99775,  91.92563, -86.08884, -39.38576,  90.40295, -86.03345, -62.61019, 119.32382,-142.47260, -71.14606, 117.92095,-151.91258, -71.53435,  99.56619,-162.10827, -51.98184,  88.82554,-167.70629, -50.14371,  89.79077,-165.70787, -47.79859,  90.38511,-163.21749, -46.67518,  90.29963,-161.08480, -48.69831,  89.32889,-166.32489, -44.19780,  88.09026,-164.50761, -41.90916,  86.98197,-162.23113, -41.14345,  86.19067,-160.63998, -48.81280,  88.33346,-166.91088, -44.48509,  86.58671,-165.45544, -42.34009,  84.53692,-163.20477, -42.25816,  83.24137,-161.26508, -49.00074,  87.66571,-167.37812, -45.25956,  85.53686,-166.49880, -43.51948,  83.36587,-164.82878, -43.37723,  81.94112,-163.09057, -49.41756,  86.89153,-167.91698, -46.21204,  84.47948,-167.46404, -44.89619,  82.47792,-166.45553, -44.93003,  81.37005,-165.24407
   0.05000, -70.63147,  80.01586,-116.05060, -62.47692,  81.22957,-109.54827, -40.89821,  49.51713,-118.55054, -55.95643,  16.54716,-109.66159, -78.78602,  78.80215,-122.55292, -84.22782,  42.94176,-137.94055, -93.65757,   9.73248,-123.76288, -68.58763,  86.25407,-119.77818, -64.10469, 100.21534,-127.80173, -60.91116, 110.23097,-133.29679, -55.99213, 125.37321,-141.24299, -54.84628, 128.90050,-143.09401, -53.70042, 132.42779,-144.94503, -55.66896, 121.21738,-136.88792, -47.57253, 121.38508,-126.97015, -47.03589, 109.55724,-109.62615, -42.67737,  96.34494, -91.31117, -39.81789,  96.70160, -91.32581, -36.36382,  96.67195, -90.97458, -34.08252,  95.88910, -90.99749, -39.51642,  97.09069, -89.76346, -35.69315,  96.59414, -86.56543, -32.83434,  95.27931, -85.24369, -31.34663,  94.08525, -84.91945, -40.26381,  96.54421, -89.06336, -36.93913,  95.76420, -85.56528, -34.40757,  93.65720, -83.82747, -33.18867,  91.66732, -83.87433, -40.88897,  96.17984, -88.64392, -38.44735,  95.19541, -85.12668, -36.63089,  93.15387, -83.37665, -35.55854,  91.17935, -83.22549, -41.73244,  95.69355, -88.30399, -40.00615,  94.52566, -84.84648, -38.90987,  92.81853, -83.22208, -38.27015,  91.30792, -83.15154, -59.29647, 120.35213,-140.78229, -67.11243, 119.11041,-150.84765, -67.07215, 100.79283,-161.11724, -46.68934,  90.52490,-163.96520, -45.18290,  91.51058,-161.71505, -43.24874,  92.13073,-158.89916, -42.46391,  92.06225,-156.61945, -43.65793,  91.05406,-162.10141, -39.48175,  89.85049,-159.61097, -37.56225,  88.76668,-157.00532, -37.04467,  87.98766,-155.31137, -43.67660,  90.05511,-162.69228, -39.61338,  88.34066,-160.58291, -37.82721,  86.31442,-158.01930, -38.03610,  85.02891,-156.08245, -43.78763,  89.38401,-163.17890, -40.21414,  87.28122,-161.72628, -38.73882,  85.12859,-159.79764, -38.85668,  83.71324,-158.04996, -44.11337,  88.60478,-163.77065, -41.00271,  86.21361,-162.81959, -39.84641,  84.22469,-161.61046, -40.05941,  83.12261,-160.41204
   0.06667, -68.99442,  80.25974,-116.52596, -61.39386,  81.19630,-109.34235, -39.58500,  49.28222,-116.97286, -55.69028,  16.02206,-111.76095, -76.59497,  79.32317,-123.70958, -82.67239,  43.33607,-138.55391, -94.09757,  10.10329,-125.99088, -66.67340,  86.64620,-119.81433, -61.58613, 100.90378,-126.90181, -57.98117, 111.10578,-131.76292, -52.49340, 126.50100,-138.79842, -51.21506, 130.08722,-140.43729, -49.93672, 133.67343,-142.07616, -52.51188, 122.21087,-134.56326, -45.11133, 122.28329,-124.11486, -45.27583, 110.35577,-106.83171, -41.21474,  97.04357, -88.52071, -38.36264,  97.45229, -88.47017, -34.91733,  97.48435, -88.04169, -32.62215,  96.74327, -88.01583, -38.10335,  97.84145, -86.90028, -34.34409,  97.40362, -83.61888, -31.49197,  96.13655, -82.23738, -29.99029,  94.96867, -81.88349, -38.85608,  97.27904, -86.21876, -35.59673,  96.54770, -82.64942, -33.06655,  94.48120, -80.86169, -31.81072,  92.51402, -80.88724, -39.48369,  96.90191, -85.81455, -37.10372,  95.95003, -82.24646, -35.28981,  93.93591, -80.46234, -34.18518,  91.98074, -80.29316, -40.32552,  96.39918, -85.49509, -38.65589,  95.25104, -82.00330, -37.56517,  93.55859, -80.35991, -36.89967,  92.05965, -80.27962, -55.80077, 121.46090,-138.76973, -62.77716, 120.37078,-149.45075, -62.43388, 102.06744,-159.74006, -41.69418,  92.12522,-159.87088, -40.50145,  93.11403,-157.44111, -38.96063,  93.73809,-154.39297, -38.48752,  93.67300,-152.02872, -38.93876,  92.65644,-157.61951, -35.13347,  91.45558,-154.59147, -33.57994,  90.37536,-151.75101, -33.29378,  89.59888,-150.00189, -38.87880,  91.65656,-158.20604, -35.13480,  89.94425,-155.56996, -33.70827,  87.92156,-152.78753, -34.17478,  86.63920,-150.89399, -38.92415,  90.98471,-158.70210, -35.57791,  88.88317,-156.78172, -34.37466,  86.73317,-154.66992, -34.72574,  85.32065,-152.95148, -39.16829,  90.20464,-159.33087, -36.21384,  87.81406,-157.96896, -35.23052,  85.82672,-156.61310, -35.60232,  84.72662,-155.45220
   0.08334, -66.98260,  80.49696,-117.23612, -59.91508,  81.18517,-109.50135, -38.29413,  48.75887,-115.28320, -55.27758,  15.55087,-114.02863, -74.05011,  79.80876,-124.97089, -80.74672,  43.72266,-139.29950, -94.02981,  10.54041,-128.56264, -64.49267,  87.02617,-120.09219, -59.01635, 101.55958,-126.27127, -55.13230, 111.92865,-130.52612, -49.24588, 127.54340,-136.70318, -47.87468, 131.18076,-138.14208, -46.50348, 134.81812,-139.58099, -49.53765, 123.12875,-132.60833, -42.81503, 123.08794,-121.71121, -43.70815, 110.96526,-104.58687, -39.87737,  97.50967, -86.33112, -37.03202,  97.95434, -86.22956, -33.59521,  98.02784, -85.74195, -31.29150,  97.31586, -85.68070, -36.80455,  98.33809, -84.65342, -33.09654,  97.92999, -81.31046, -30.25242,  96.69168, -79.88703, -28.74217,  95.54105, -79.51366, -37.56155,  97.76241, -83.98789, -34.35448,  97.05287, -80.36715, -31.82891,  95.00888, -78.54732, -30.54774,  93.05799, -78.56177, -38.19108,  97.37510, -83.59650, -35.86035,  96.43388, -79.99324, -34.05150,  94.43317, -78.18901, -32.92498,  92.49130, -78.01129, -39.03173,  96.85995, -83.29417, -37.40737,  95.71388, -79.78042, -36.32326,  94.02639, -78.12758, -35.64008,  92.53561, -78.04385, -52.52157, 122.49478,-137.05444, -58.73596, 121.51449,-148.20625, -58.28672, 103.20075,-158.47295, -37.64088,  93.45712,-155.67822, -36.74781,  94.44810,-153.12391, -35.58913,  95.07451,-149.91146, -35.41209,  95.01774,-147.50663, -35.17948,  93.97562,-153.10609, -31.78864,  92.75686,-149.62640, -30.60795,  91.67787,-146.61139, -30.54728,  90.90815,-144.83710, -35.05711,  92.97214,-153.67656, -31.68359,  91.24043,-150.59127, -30.63073,  89.21985,-147.64561, -31.33959,  87.95178,-145.81885, -35.04728,  92.29810,-154.17163, -31.98383,  90.17695,-151.84405, -31.07097,  88.02751,-149.59091, -31.64491,  86.62731,-147.92312, -35.21937,  91.51693,-154.82248, -32.47852,  89.10728,-153.09627, -31.68904,  87.11845,-151.62112, -32.21175,  86.02788,-150.51044
   0.10000, -64.64308,  80.68732,-118.19637, -58.12951,  81.14668,-109.97369, -37.13310,  48.04421,-113.94067, -54.60073,  15.12755,-115.97967, -71.15665,  80.22796,-126.41904, -78.38702,  44.04865,-140.24437, -93.38939,  11.07555,-131.27297, -62.07184,  87.36333,-120.60613, -56.38044, 102.17773,-125.85330, -52.32490, 112.71490,-129.49028, -46.17857, 128.54720,-134.79947, -44.74682, 132.23523,-136.03622, -43.31507, 135.92326,-137.27296, -46.70002, 124.00851,-130.86622, -40.72994, 123.82603,-119.54071, -42.21371, 111.46344,-102.63021, -38.51971,  97.79217, -84.50700, -35.67993,  98.26128, -84.36665, -32.24979,  98.35962, -83.83820, -29.94047,  97.66783, -83.75932, -35.47417,  98.62663, -82.78317, -31.80128,  98.20890, -79.40283, -28.96244,  96.97810, -77.96245, -27.44604,  95.83647, -77.58636, -36.23344,  98.03553, -82.13394, -33.06185,  97.30826, -78.48557, -30.53867,  95.26385, -76.66290, -29.23948,  93.32502, -76.68752, -36.86384,  97.63748, -81.75490, -34.56616,  96.67084, -78.13718, -32.75983,  94.66341, -76.33789, -31.61757,  92.72970, -76.17205, -37.70312,  97.11086, -81.46902, -36.10882,  95.93415, -77.95163, -35.02830,  94.23529, -76.30811, -34.33242,  92.74980, -76.23560, -49.38209, 123.49077,-135.51511, -54.83136, 122.57082,-147.06506, -54.47725, 104.24943,-157.32184, -34.28957,  94.55225,-152.08520, -33.70855,  95.54305,-149.44232, -32.95559,  96.16867,-146.11119, -33.08750,  96.12536,-143.70318, -32.16549,  95.03914,-149.22261, -29.27171,  93.77683,-145.33366, -28.50747,  92.69559,-142.18796, -28.68939,  91.93738,-140.41701, -31.99250,  94.02938,-149.76836, -29.07638,  92.25179,-146.27051, -28.44979,  90.23127,-143.20570, -29.41191,  88.99073,-141.47859, -31.93381,  93.35179,-150.25513, -29.23682,  91.18574,-147.54660, -28.66355,  89.03431,-145.18593, -29.47440,  87.65783,-143.59870, -32.03791,  92.56966,-150.91913, -29.59027,  90.11745,-148.84689, -29.03691,  88.12357,-147.27430, -29.71952,  87.05168,-146.23448
   0.11667, -62.09159,  80.80964,-119.31102, -56.22954,  81.00702,-110.60198, -36.40166,  47.03950,-112.93063, -54.08202,  14.51398,-117.65059, -67.95365,  80.61225,-128.02006, -75.52456,  44.34148,-141.41679, -92.17869,  11.69430,-134.37521, -59.47001,  87.62375,-121.23005, -53.63073, 102.70787,-125.44470, -49.45080, 113.41039,-128.39278, -43.11510, 129.46200,-132.73227, -41.63924, 133.20112,-133.74313, -40.16338, 136.94024,-134.75399, -43.86173, 124.78908,-128.99751, -38.54899, 124.47035,-117.35210, -40.52002, 111.79644,-100.72420, -36.84904,  97.85189, -82.80568, -34.01433,  98.34326, -82.64119, -30.58800,  98.46175, -82.09256, -28.27304,  97.78897, -82.01444, -33.82007,  98.68016, -81.04997, -30.16123,  98.23049, -77.65851, -27.31906,  96.99754, -76.22657, -25.79452,  95.86237, -75.86411, -34.57741,  98.07013, -80.41618, -31.41848,  97.30146, -76.76531, -28.88668,  95.24501, -74.96832, -27.57015,  93.31853, -75.02281, -35.20620,  97.65939, -80.04817, -32.91883,  96.64428, -76.43719, -31.10406,  94.61893, -74.66671, -29.94548,  92.69256, -74.53153, -36.04223,  97.12004, -79.77685, -34.45581,  95.89061, -76.27396, -33.36874,  94.17033, -74.65726, -32.66003,  92.68993, -74.60926, -46.20821, 124.40689,-133.83710, -50.79700, 123.53816,-145.75896, -50.69381, 105.23582,-156.05527, -31.26500,  95.37601,-148.68604, -30.93350,  96.36782,-146.00080, -30.51235,  96.99439,-142.61187, -30.89389,  96.97025,-140.23036, -29.43595,  95.82378,-145.62054, -26.99607,  94.50885,-141.44810, -26.59159,  93.42772,-138.23623, -26.97664,  92.68619,-136.49092, -29.23532,  94.80620,-146.14175, -26.74697,  92.97306,-142.35411, -26.49687,  90.95621,-139.23355, -27.66640,  89.75336,-137.61093, -29.14528,  94.12414,-146.61735, -26.80383,  91.90350,-143.63607, -26.53747,  89.75268,-141.22090, -27.54588,  88.40894,-139.72124, -29.20163,  93.34083,-147.28572, -27.05014,  90.83677,-144.96210, -26.71768,  88.83887,-143.33339, -27.53354,  87.79259,-142.36601
   0.13334, -59.41728,  80.85054,-120.51695, -54.18354,  80.82530,-111.41434, -35.95308,  45.90822,-112.31337, -53.61041,  13.78719,-119.33051, -64.65102,  80.87578,-129.61955, -72.30920,  44.39517,-142.38188, -90.33673,  12.13303,-137.19104, -56.77154,  87.75932,-122.01901, -50.86205, 103.03753,-125.34246, -46.62584, 113.86635,-127.68730, -40.21339, 130.09543,-131.16925, -38.71965, 133.87589,-131.98035, -37.22591, 137.65635,-132.79144, -41.13266, 125.30746,-127.62350, -36.45489, 124.85943,-115.71299, -38.87533, 111.81110, -99.43778, -35.10104,  97.60659, -81.74635, -32.26937,  98.11436, -81.57938, -28.84233,  98.24531, -81.03802, -26.52250,  97.58740, -80.98085, -32.07275,  98.41852, -79.98187, -28.40078,  97.92231, -76.61116, -25.54579,  96.67915, -75.21396, -24.01225,  95.54729, -74.88019, -32.82390,  97.78974, -79.35915, -29.64882,  96.96553, -75.73451, -27.09733,  94.88908, -73.98909, -25.76750,  92.97356, -74.08853, -33.44869,  97.36679, -78.99824, -31.14355,  96.29089, -75.41629, -29.30937,  94.24103, -73.69470, -28.13692,  92.32044, -73.60405, -34.28012,  96.81586, -78.73617, -32.67471,  95.52306, -75.26490, -31.57081,  93.77633, -73.68846, -30.85160,  92.30029, -73.67416, -43.18037, 125.04782,-132.60478, -47.01818, 124.23639,-144.79310, -47.25711, 105.98793,-155.18235, -28.90795,  95.80726,-145.76630, -28.78585,  96.78123,-143.05695, -28.65247,  97.38564,-139.64057, -29.25038,  97.37193,-137.30389, -27.35075,  96.18020,-142.54462, -25.35295,  94.76669,-138.17402, -25.28417,  93.66555,-134.94426, -25.85447,  92.93618,-133.24515, -27.14178,  95.15664,-143.05061, -25.08010,  93.22411,-139.06146, -25.19177,  91.19393,-135.94151, -26.54886,  90.03349,-134.43843, -27.03440,  94.47246,-143.51953, -25.05988,  92.15965,-140.34876, -25.09604,  89.99618,-137.93047, -26.28687,  88.68906,-136.53588, -27.05892,  93.69299,-144.19427, -25.22406,  91.10526,-141.69719, -25.11693,  89.09345,-140.05526, -26.05640,  88.07718,-139.17166
   0.15000, -56.73268,  80.85669,-121.80170, -52.17765,  80.60718,-112.34445, -35.54028,  44.89223,-112.36590, -53.11397,  13.06963,-120.80803, -61.28770,  81.10620,-131.25894, -68.96577,  44.41620,-143.39367, -88.25140,  12.65472,-139.92165, -54.04069,  87.82104,-122.91454, -48.03108, 103.22058,-125.39040, -43.72930, 114.13415,-127.14991, -37.23710, 130.49088,-129.78335, -35.72479, 134.30108,-130.39679, -34.21247, 138.11128,-131.01024, -38.33281, 125.59908,-126.43495, -34.35863, 125.00071,-114.27805, -37.09071, 111.60329, -98.33926, -33.04191,  97.15445, -80.90831, -30.21165,  97.67911, -80.77243, -26.77797,  97.82368, -80.27875, -24.45305,  97.18150, -80.26917, -29.99352,  97.95185, -79.17204, -26.26872,  97.41312, -75.86644, -23.38484,  96.16221, -74.53716, -21.83874,  95.03485, -74.24930, -30.73100,  97.30501, -78.55147, -27.49700,  96.42957, -74.99151, -24.90567,  94.33622, -73.32685, -23.56423,  92.43280, -73.48524, -31.34745,  96.87025, -78.19024, -28.98216,  95.73777, -74.66540, -27.10856,  93.66632, -73.01351, -25.92164,  91.75279, -72.97967, -32.17107,  96.30807, -77.92744, -30.50556,  94.95595, -74.50745, -29.36640,  93.18527, -72.98371, -28.63686,  91.71448, -73.01039, -40.07598, 125.46973,-131.53576, -43.22325, 124.77688,-143.92758, -43.92093, 106.64155,-154.49275, -26.67565,  96.03529,-143.57910, -26.75628,  96.97170,-140.85500, -26.90819,  97.53052,-137.43163, -27.71793,  97.51991,-135.15964, -25.40457,  96.29543,-140.22353, -23.88589,  94.73693,-135.71176, -24.16631,  93.59762,-132.50678, -24.92424,  92.87805,-130.87829, -25.19913,  95.26860,-140.72432, -23.60669,  93.19288,-136.59467, -24.10087,  91.13577,-133.52999, -25.64395,  90.02639,-132.17511, -25.08196,  94.58529,-141.19215, -23.51928,  92.14320,-137.89126, -23.88034,  89.95713,-135.52045, -25.25510,  88.69433,-134.26074, -25.08164,  93.81556,-141.87843, -23.60920,  91.11330,-139.26536, -23.74927,  89.08037,-137.65217, -24.81326,  88.10147,-136.87381
